"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
2,99;0,584;0,072;2,41;500;0,005;6;2
3,04;0,732;0,068;2,422;1000;0,005;6;2
3,09;0,816;0,062;2,456;1500;0,005;6;2
3,104;0,836;0,064;2,468;1700;0,005;6;2
3,13;0,866;0,058;2,488;2000;0,005;6;2
3,196;0,928;0,05;2,546;3000;0,005;6;2
3,074;0,806;0,06;2,448;500;0,01;8;2
3,172;0,922;0,052;2,52;1000;0,01;8;2
3,224;0,964;0,048;2,562;1500;0,01;8;2
3,244;0,97;0,048;2,578;1700;0,01;8;2
3,266;0,98;0,044;2,6;2000;0,01;8;2
3,308;1;0,038;2,634;3000;0,01;8;2
3,184;0,918;0,052;2,542;500;0,02;8;2
3,274;0,98;0,042;2,608;1000;0,02;8;2
3,316;0,998;0,038;2,642;1500;0,02;8;2
3,324;1;0,036;2,648;1700;0,02;8;2
3,334;1;0,036;2,654;2000;0,02;8;2
3,344;1;0,032;2,666;3000;0,02;8;2
3,3;0,99;0,036;2,656;500;0,05;8;2
3,328;1;0,036;2,688;1000;0,05;8;2
3,332;1;0,036;2,692;1500;0,05;8;2
3,334;1;0,036;2,692;1700;0,05;8;2
3,336;1;0,036;2,692;2000;0,05;8;2
3,336;1;0,036;2,692;3000;0,05;8;2
3,004;0,502;0,072;2,46;500;0,001;8;2
2,982;0,552;0,074;2,422;1000;0,001;8;2
2,984;0,6;0,072;2,41;1500;0,001;8;2
2,982;0,62;0,074;2,408;1700;0,001;8;2
2,986;0,642;0,072;2,404;2000;0,001;8;2
3,01;0,714;0,072;2,404;3000;0,001;8;2
2,988;0,548;0,07;2,426;500;0,002;8;2
2,98;0,642;0,08;2,402;1000;0,002;8;2
2,998;0,716;0,076;2,4;1500;0,002;8;2
3,004;0,742;0,076;2,402;1700;0,002;8;2
3,02;0,772;0,072;2,408;2000;0,002;8;2
3,066;0,848;0,068;2,44;3000;0,002;8;2
2,994;0,678;0,07;2,406;500;0,005;8;2
3,054;0,812;0,066;2,434;1000;0,005;8;2
3,106;0,882;0,062;2,474;1500;0,005;8;2
3,126;0,902;0,06;2,486;1700;0,005;8;2
3,154;0,926;0,056;2,512;2000;0,005;8;2
3,212;0,968;0,052;2,562;3000;0,005;8;2
3,01;0,48;0,07;2,416;500;0,01;3;5
3,082;0,632;0,056;2,466;1000;0,01;3;5
3,14;0,726;0,054;2,518;1500;0,01;3;5
3,16;0,752;0,052;2,532;1700;0,01;3;5
3,188;0,792;0,046;2,552;2000;0,01;3;5
3,262;0,866;0,04;2,608;3000;0,01;3;5
3,074;0,628;0,062;2,466;500;0,02;3;5
3,18;0,786;0,046;2,558;1000;0,02;3;5
3,25;0,864;0,042;2,616;1500;0,02;3;5
3,274;0,884;0,04;2,632;1700;0,02;3;5
3,3;0,912;0,04;2,654;2000;0,02;3;5
3,38;0,958;0,034;2,712;3000;0,02;3;5
3,248;0,822;0,038;2,624;500;0,05;3;5
3,368;0,936;0,028;2,736;1000;0,05;3;5
3,432;0,97;0,026;2,774;1500;0,05;3;5
3,46;0,98;0,024;2,798;1700;0,05;3;5
3,478;0,99;0,024;2,818;2000;0,05;3;5
3,532;1;0,022;2,856;3000;0,05;3;5
3,022;0,246;0,064;2,476;500;0,001;3;5
3;0,282;0,066;2,442;1000;0,001;3;5
2,988;0,314;0,068;2,428;1500;0,001;3;5
2,988;0,322;0,068;2,422;1700;0,001;3;5
2,988;0,34;0,068;2,42;2000;0,001;3;5
2,988;0,398;0,07;2,412;3000;0,001;3;5
2,996;0,28;0,068;2,442;500;0,002;3;5
2,98;0,344;0,07;2,416;1000;0,002;3;5
2,986;0,4;0,072;2,41;1500;0,002;3;5
2,988;0,416;0,072;2,408;1700;0,002;3;5
2,994;0,444;0,068;2,41;2000;0,002;3;5
3,018;0,522;0,066;2,418;3000;0,002;3;5
2,984;0,362;0,074;2,412;500;0,005;3;5
3,006;0,482;0,068;2,412;1000;0,005;3;5
3,042;0,572;0,064;2,432;1500;0,005;3;5
3,048;0,598;0,064;2,438;1700;0,005;3;5
3,07;0,634;0,062;2,456;2000;0,005;3;5
3,124;0,73;0,058;2,498;3000;0,005;3;5
3,038;0,646;0,068;2,424;500;0,01;5;5
3,126;0,802;0,056;2,5;1000;0,01;5;5
3,192;0,876;0,05;2,554;1500;0,01;5;5
3,21;0,896;0,048;2,57;1700;0,01;5;5
3,236;0,92;0,044;2,596;2000;0,01;5;5
3,314;0,96;0,038;2,654;3000;0,01;5;5
3,116;0,792;0,06;2,488;500;0,02;5;5
3,228;0,918;0,05;2,584;1000;0,02;5;5
3,304;0,96;0,042;2,638;1500;0,02;5;5
3,328;0,97;0,038;2,66;1700;0,02;5;5
3,348;0,98;0,038;2,68;2000;0,02;5;5
3,4;0,99;0,032;2,712;3000;0,02;5;5
3,334;0,938;0,03;2,696;500;0,05;5;5
3,414;0,99;0,024;2,764;1000;0,05;5;5
3,452;1;0,024;2,794;1500;0,05;5;5
3,458;1;0,024;2,8;1700;0,05;5;5
3,466;1;0,022;2,806;2000;0,05;5;5
3,48;1;0,022;2,814;3000;0,05;5;5
3,016;0,354;0,068;2,464;500;0,001;5;5
2,992;0,398;0,068;2,43;1000;0,001;5;5
2,986;0,442;0,07;2,416;1500;0,001;5;5
2,984;0,456;0,072;2,412;1700;0,001;5;5
2,986;0,478;0,072;2,408;2000;0,001;5;5
2,998;0,55;0,07;2,408;3000;0,001;5;5
2,99;0,394;0,07;2,428;500;0,002;5;5
2,982;0,478;0,072;2,406;1000;0,002;5;5
2,998;0,548;0,068;2,402;1500;0,002;5;5
3;0,57;0,068;2,404;1700;0,002;5;5
3,012;0,604;0,07;2,406;2000;0,002;5;5
3,046;0,696;0,068;2,432;3000;0,002;5;5
2,992;0,51;0,068;2,408;500;0,005;5;5
3,034;0,654;0,066;2,428;1000;0,005;5;5
3,086;0,742;0,06;2,466;1500;0,005;5;5
3,098;0,766;0,058;2,474;1700;0,005;5;5
3,116;0,802;0,058;2,488;2000;0,005;5;5
3,182;0,876;0,052;2,548;3000;0,005;5;5
3,056;0,706;0,064;2,438;500;0,01;6;5
3,154;0,848;0,052;2,52;1000;0,01;6;5
