"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
1,176;0,758;0,046;0,912;1700;0,02;6;30
1,184;0,79;0,046;0,922;2000;0,02;6;30
1,212;0,864;0,044;0,946;3000;0,02;6;30
1,16;0,686;0,048;0,906;500;0,05;6;30
1,2;0,824;0,044;0,94;1000;0,05;6;30
1,222;0,894;0,04;0,958;1500;0,05;6;30
1,228;0,908;0,04;0,968;1700;0,05;6;30
1,236;0,926;0,038;0,972;2000;0,05;6;30
1,262;0,964;0,038;0,992;3000;0,05;6;30
1,102;0,176;0,058;0,854;500;0,001;6;30
1,096;0,2;0,06;0,846;1000;0,001;6;30
1,094;0,222;0,066;0,846;1500;0,001;6;30
1,096;0,228;0,066;0,842;1700;0,001;6;30
1,094;0,246;0,068;0,842;2000;0,001;6;30
1,098;0,288;0,068;0,844;3000;0,001;6;30
1,094;0,2;0,062;0,844;500;0,002;6;30
1,094;0,246;0,064;0,844;1000;0,002;6;30
1,098;0,288;0,068;0,844;1500;0,002;6;30
1,096;0,304;0,068;0,842;1700;0,002;6;30
1,098;0,326;0,066;0,846;2000;0,002;6;30
1,108;0,392;0,068;0,846;3000;0,002;6;30
1,094;0,266;0,068;0,84;500;0,005;6;30
1,1;0,36;0,07;0,844;1000;0,005;6;30
1,11;0,434;0,064;0,85;1500;0,005;6;30
1,114;0,458;0,066;0,852;1700;0,005;6;30
1,118;0,492;0,064;0,854;2000;0,005;6;30
1,136;0,58;0,058;0,872;3000;0,005;6;30
1,102;0,36;0,07;0,844;500;0,01;8;30
1,12;0,486;0,064;0,86;1000;0,01;8;30
1,136;0,58;0,054;0,872;1500;0,01;8;30
1,142;0,606;0,056;0,878;1700;0,01;8;30
1,15;0,642;0,052;0,884;2000;0,01;8;30
1,172;0,732;0,046;0,904;3000;0,01;8;30
1,124;0,486;0,06;0,86;500;0,02;8;30
1,15;0,64;0,054;0,884;1000;0,02;8;30
1,172;0,73;0,046;0,908;1500;0,02;8;30
1,176;0,758;0,046;0,912;1700;0,02;8;30
1,184;0,79;0,046;0,922;2000;0,02;8;30
1,212;0,864;0,044;0,946;3000;0,02;8;30
1,16;0,686;0,048;0,906;500;0,05;8;30
1,2;0,824;0,044;0,94;1000;0,05;8;30
1,222;0,894;0,04;0,958;1500;0,05;8;30
1,228;0,908;0,04;0,968;1700;0,05;8;30
1,236;0,926;0,038;0,972;2000;0,05;8;30
1,262;0,964;0,038;0,992;3000;0,05;8;30
1,102;0,176;0,058;0,854;500;0,001;8;30
1,096;0,2;0,06;0,846;1000;0,001;8;30
1,094;0,222;0,066;0,846;1500;0,001;8;30
1,096;0,228;0,066;0,842;1700;0,001;8;30
1,094;0,246;0,068;0,842;2000;0,001;8;30
1,098;0,288;0,068;0,844;3000;0,001;8;30
1,094;0,2;0,062;0,844;500;0,002;8;30
1,094;0,246;0,064;0,844;1000;0,002;8;30
1,098;0,288;0,068;0,844;1500;0,002;8;30
1,096;0,304;0,068;0,842;1700;0,002;8;30
1,098;0,326;0,066;0,846;2000;0,002;8;30
1,108;0,392;0,068;0,846;3000;0,002;8;30
1,094;0,266;0,068;0,84;500;0,005;8;30
1,1;0,36;0,07;0,844;1000;0,005;8;30
1,11;0,434;0,064;0,85;1500;0,005;8;30
1,114;0,458;0,066;0,852;1700;0,005;8;30
1,118;0,492;0,064;0,854;2000;0,005;8;30
1,136;0,58;0,058;0,872;3000;0,005;8;30
1,1;0,142;0,064;0,848;500;0,01;3;50
1,112;0,206;0,06;0,854;1000;0,01;3;50
1,118;0,256;0,062;0,852;1500;0,01;3;50
1,124;0,27;0,056;0,856;1700;0,01;3;50
1,13;0,296;0,056;0,86;2000;0,01;3;50
1,14;0,364;0,052;0,862;3000;0,01;3;50
1,114;0,204;0,06;0,852;500;0,02;3;50
1,128;0,292;0,056;0,86;1000;0,02;3;50
1,136;0,366;0,058;0,862;1500;0,02;3;50
1,146;0,388;0,048;0,868;1700;0,02;3;50
1,15;0,418;0,046;0,868;2000;0,02;3;50
1,164;0,504;0,042;0,88;3000;0,02;3;50
1,132;0,326;0,048;0,866;500;0,05;3;50
1,152;0,454;0,046;0,88;1000;0,05;3;50
1,168;0,542;0,046;0,886;1500;0,05;3;50
1,178;0,568;0,038;0,898;1700;0,05;3;50
1,186;0,6;0,034;0,906;2000;0,05;3;50
1,206;0,69;0,032;0,92;3000;0,05;3;50
1,108;0,066;0,054;0,86;500;0,001;3;50
1,102;0,08;0,06;0,854;1000;0,001;3;50
1,102;0,092;0,06;0,852;1500;0,001;3;50
1,102;0,092;0,06;0,852;1700;0,001;3;50
1,1;0,1;0,06;0,848;2000;0,001;3;50
1,098;0,114;0,06;0,848;3000;0,001;3;50
1,102;0,078;0,058;0,854;500;0,002;3;50
1,1;0,1;0,062;0,85;1000;0,002;3;50
1,098;0,114;0,066;0,848;1500;0,002;3;50
1,098;0,124;0,064;0,848;1700;0,002;3;50
1,098;0,132;0,064;0,848;2000;0,002;3;50
1,102;0,158;0,064;0,848;3000;0,002;3;50
1,1;0,104;0,062;0,846;500;0,005;3;50
1,102;0,146;0,06;0,85;1000;0,005;3;50
1,104;0,178;0,064;0,846;1500;0,005;3;50
1,11;0,188;0,064;0,85;1700;0,005;3;50
1,112;0,206;0,062;0,852;2000;0,005;3;50
1,118;0,258;0,056;0,854;3000;0,005;3;50
1,1;0,142;0,064;0,848;500;0,01;5;50
1,112;0,206;0,06;0,854;1000;0,01;5;50
1,118;0,256;0,062;0,852;1500;0,01;5;50
1,124;0,27;0,056;0,856;1700;0,01;5;50
1,13;0,296;0,056;0,86;2000;0,01;5;50
1,14;0,364;0,052;0,862;3000;0,01;5;50
1,114;0,204;0,06;0,852;500;0,02;5;50
1,128;0,292;0,056;0,86;1000;0,02;5;50
1,136;0,366;0,058;0,862;1500;0,02;5;50
1,146;0,388;0,048;0,868;1700;0,02;5;50
1,15;0,418;0,046;0,868;2000;0,02;5;50
1,164;0,504;0,042;0,88;3000;0,02;5;50
1,132;0,326;0,048;0,866;500;0,05;5;50
1,152;0,454;0,046;0,88;1000;0,05;5;50
1,168;0,542;0,046;0,886;1500;0,05;5;50
1,178;0,568;0,038;0,898;1700;0,05;5;50
1,186;0,6;0,034;0,906;2000;0,05;5;50
1,206;0,69;0,032;0,92;3000;0,05;5;50
1,108;0,066;0,054;0,86;500;0,001;5;50
1,102;0,08;0,06;0,854;1000;0,001;5;50
1,102;0,092;0,06;0,852;1500;0,001;5;50
1,102;0,092;0,06;0,852;1700;0,001;5;50
1,1;0,1;0,06;0,848;2000;0,001;5;50
1,098;0,114;0,06;0,848;3000;0,001;5;50
1,102;0,078;0,058;0,854;500;0,002;5;50
1,1;0,1;0,062;0,85;1000;0,002;5;50
1,098;0,114;0,066;0,848;1500;0,002;5;50
1,098;0,124;0,064;0,848;1700;0,002;5;50
1,098;0,132;0,064;0,848;2000;0,002;5;50
1,102;0,158;0,064;0,848;3000;0,002;5;50
1,1;0,104;0,062;0,846;500;0,005;5;50
1,102;0,146;0,06;0,85;1000;0,005;5;50
1,104;0,178;0,064;0,846;1500;0,005;5;50
1,11;0,188;0,064;0,85;1700;0,005;5;50
1,112;0,206;0,062;0,852;2000;0,005;5;50
1,118;0,258;0,056;0,854;3000;0,005;5;50
1,1;0,142;0,064;0,848;500;0,01;6;50
1,112;0,206;0,06;0,854;1000;0,01;6;50
1,118;0,256;0,062;0,852;1500;0,01;6;50
1,124;0,27;0,056;0,856;1700;0,01;6;50
1,13;0,296;0,056;0,86;2000;0,01;6;50
1,14;0,364;0,052;0,862;3000;0,01;6;50
1,114;0,204;0,06;0,852;500;0,02;6;50
1,128;0,292;0,056;0,86;1000;0,02;6;50
1,136;0,366;0,058;0,862;1500;0,02;6;50
1,146;0,388;0,048;0,868;1700;0,02;6;50
1,15;0,418;0,046;0,868;2000;0,02;6;50
1,164;0,504;0,042;0,88;3000;0,02;6;50
1,132;0,326;0,048;0,866;500;0,05;6;50
1,152;0,454;0,046;0,88;1000;0,05;6;50
1,168;0,542;0,046;0,886;1500;0,05;6;50
1,178;0,568;0,038;0,898;1700;0,05;6;50
1,186;0,6;0,034;0,906;2000;0,05;6;50
1,206;0,69;0,032;0,92;3000;0,05;6;50
1,108;0,066;0,054;0,86;500;0,001;6;50
1,102;0,08;0,06;0,854;1000;0,001;6;50
1,102;0,092;0,06;0,852;1500;0,001;6;50
1,102;0,092;0,06;0,852;1700;0,001;6;50
1,1;0,1;0,06;0,848;2000;0,001;6;50
1,098;0,114;0,06;0,848;3000;0,001;6;50
1,102;0,078;0,058;0,854;500;0,002;6;50
1,1;0,1;0,062;0,85;1000;0,002;6;50
1,098;0,114;0,066;0,848;1500;0,002;6;50
1,098;0,124;0,064;0,848;1700;0,002;6;50
1,098;0,132;0,064;0,848;2000;0,002;6;50
1,102;0,158;0,064;0,848;3000;0,002;6;50
1,1;0,104;0,062;0,846;500;0,005;6;50
1,102;0,146;0,06;0,85;1000;0,005;6;50
1,104;0,178;0,064;0,846;1500;0,005;6;50
1,11;0,188;0,064;0,85;1700;0,005;6;50
1,112;0,206;0,062;0,852;2000;0,005;6;50
1,118;0,258;0,056;0,854;3000;0,005;6;50
1,1;0,142;0,064;0,848;500;0,01;8;50
1,112;0,206;0,06;0,854;1000;0,01;8;50
1,118;0,256;0,062;0,852;1500;0,01;8;50
1,124;0,27;0,056;0,856;1700;0,01;8;50
1,13;0,296;0,056;0,86;2000;0,01;8;50
1,14;0,364;0,052;0,862;3000;0,01;8;50
1,114;0,204;0,06;0,852;500;0,02;8;50
1,128;0,292;0,056;0,86;1000;0,02;8;50
1,136;0,366;0,058;0,862;1500;0,02;8;50
1,146;0,388;0,048;0,868;1700;0,02;8;50
1,15;0,418;0,046;0,868;2000;0,02;8;50
1,164;0,504;0,042;0,88;3000;0,02;8;50
1,132;0,326;0,048;0,866;500;0,05;8;50
1,152;0,454;0,046;0,88;1000;0,05;8;50
1,168;0,542;0,046;0,886;1500;0,05;8;50
1,178;0,568;0,038;0,898;1700;0,05;8;50
1,186;0,6;0,034;0,906;2000;0,05;8;50
1,206;0,69;0,032;0,92;3000;0,05;8;50
1,108;0,066;0,054;0,86;500;0,001;8;50
1,102;0,08;0,06;0,854;1000;0,001;8;50
1,102;0,092;0,06;0,852;1500;0,001;8;50
1,102;0,092;0,06;0,852;1700;0,001;8;50
1,1;0,1;0,06;0,848;2000;0,001;8;50
1,098;0,114;0,06;0,848;3000;0,001;8;50
1,102;0,078;0,058;0,854;500;0,002;8;50
1,1;0,1;0,062;0,85;1000;0,002;8;50
1,098;0,114;0,066;0,848;1500;0,002;8;50
1,098;0,124;0,064;0,848;1700;0,002;8;50
1,098;0,132;0,064;0,848;2000;0,002;8;50
1,102;0,158;0,064;0,848;3000;0,002;8;50
1,1;0,104;0,062;0,846;500;0,005;8;50
1,102;0,146;0,06;0,85;1000;0,005;8;50
1,104;0,178;0,064;0,846;1500;0,005;8;50
1,11;0,188;0,064;0,85;1700;0,005;8;50
1,112;0,206;0,062;0,852;2000;0,005;8;50
1,118;0,258;0,056;0,854;3000;0,005;8;50
1,102;0,078;0,072;0,852;500;0,01;3;70
1,11;0,108;0,072;0,856;1000;0,01;3;70
1,11;0,13;0,078;0,858;1500;0,01;3;70
1,114;0,138;0,076;0,86;1700;0,01;3;70
1,116;0,146;0,07;0,862;2000;0,01;3;70
1,126;0,182;0,066;0,87;3000;0,01;3;70
1,108;0,108;0,07;0,856;500;0,02;3;70
1,12;0,144;0,066;0,862;1000;0,02;3;70
1,124;0,182;0,07;0,864;1500;0,02;3;70
1,132;0,192;0,064;0,87;1700;0,02;3;70
1,132;0,206;0,062;0,87;2000;0,02;3;70
1,144;0,254;0,052;0,88;3000;0,02;3;70
1,126;0,166;0,064;0,866;500;0,05;3;70
1,142;0,232;0,054;0,874;1000;0,05;3;70
1,146;0,284;0,056;0,878;1500;0,05;3;70
1,158;0,296;0,046;0,89;1700;0,05;3;70
1,16;0,32;0,046;0,892;2000;0,05;3;70
1,174;0,378;0,038;0,898;3000;0,05;3;70
1,108;0,042;0,066;0,86;500;0,001;3;70
1,104;0,05;0,062;0,854;1000;0,001;3;70
1,1;0,054;0,068;0,854;1500;0,001;3;70
1,1;0,056;0,066;0,854;1700;0,001;3;70
1,102;0,06;0,066;0,852;2000;0,001;3;70
1,1;0,068;0,068;0,854;3000;0,001;3;70
1,104;0,048;0,064;0,854;500;0,002;3;70
1,102;0,06;0,068;0,852;1000;0,002;3;70
1,1;0,068;0,07;0,852;1500;0,002;3;70
1,1;0,072;0,07;0,852;1700;0,002;3;70
1,1;0,076;0,072;0,852;2000;0,002;3;70
1,102;0,086;0,072;0,854;3000;0,002;3;70
1,098;0,064;0,068;0,852;500;0,005;3;70
1,102;0,08;0,07;0,854;1000;0,005;3;70
1,104;0,094;0,076;0,852;1500;0,005;3;70
1,106;0,1;0,076;0,852;1700;0,005;3;70
1,108;0,11;0,074;0,856;2000;0,005;3;70
1,112;0,13;0,072;0,86;3000;0,005;3;70
1,102;0,078;0,072;0,852;500;0,01;5;70
1,11;0,108;0,072;0,856;1000;0,01;5;70
1,11;0,13;0,078;0,858;1500;0,01;5;70
1,114;0,138;0,076;0,86;1700;0,01;5;70
1,116;0,146;0,07;0,862;2000;0,01;5;70
1,126;0,182;0,066;0,87;3000;0,01;5;70
1,108;0,108;0,07;0,856;500;0,02;5;70
1,12;0,144;0,066;0,862;1000;0,02;5;70
1,124;0,182;0,07;0,864;1500;0,02;5;70
1,132;0,192;0,064;0,87;1700;0,02;5;70
1,132;0,206;0,062;0,87;2000;0,02;5;70
1,144;0,254;0,052;0,88;3000;0,02;5;70
1,126;0,166;0,064;0,866;500;0,05;5;70
1,142;0,232;0,054;0,874;1000;0,05;5;70
1,146;0,284;0,056;0,878;1500;0,05;5;70
1,158;0,296;0,046;0,89;1700;0,05;5;70
1,16;0,32;0,046;0,892;2000;0,05;5;70
1,174;0,378;0,038;0,898;3000;0,05;5;70
1,108;0,042;0,066;0,86;500;0,001;5;70
1,104;0,05;0,062;0,854;1000;0,001;5;70
1,1;0,054;0,068;0,854;1500;0,001;5;70
1,1;0,056;0,066;0,854;1700;0,001;5;70
1,102;0,06;0,066;0,852;2000;0,001;5;70
1,1;0,068;0,068;0,854;3000;0,001;5;70
1,104;0,048;0,064;0,854;500;0,002;5;70
1,102;0,06;0,068;0,852;1000;0,002;5;70
1,1;0,068;0,07;0,852;1500;0,002;5;70
1,1;0,072;0,07;0,852;1700;0,002;5;70
1,1;0,076;0,072;0,852;2000;0,002;5;70
1,102;0,086;0,072;0,854;3000;0,002;5;70
1,098;0,064;0,068;0,852;500;0,005;5;70
1,102;0,08;0,07;0,854;1000;0,005;5;70
1,104;0,094;0,076;0,852;1500;0,005;5;70
1,106;0,1;0,076;0,852;1700;0,005;5;70
1,108;0,11;0,074;0,856;2000;0,005;5;70
1,112;0,13;0,072;0,86;3000;0,005;5;70
1,102;0,078;0,072;0,852;500;0,01;6;70
1,11;0,108;0,072;0,856;1000;0,01;6;70
1,11;0,13;0,078;0,858;1500;0,01;6;70
1,114;0,138;0,076;0,86;1700;0,01;6;70
1,116;0,146;0,07;0,862;2000;0,01;6;70
1,126;0,182;0,066;0,87;3000;0,01;6;70
1,108;0,108;0,07;0,856;500;0,02;6;70
1,12;0,144;0,066;0,862;1000;0,02;6;70
1,124;0,182;0,07;0,864;1500;0,02;6;70
1,132;0,192;0,064;0,87;1700;0,02;6;70
1,132;0,206;0,062;0,87;2000;0,02;6;70
1,144;0,254;0,052;0,88;3000;0,02;6;70
1,126;0,166;0,064;0,866;500;0,05;6;70
1,142;0,232;0,054;0,874;1000;0,05;6;70
1,146;0,284;0,056;0,878;1500;0,05;6;70
1,158;0,296;0,046;0,89;1700;0,05;6;70
1,16;0,32;0,046;0,892;2000;0,05;6;70
1,174;0,378;0,038;0,898;3000;0,05;6;70
1,108;0,042;0,066;0,86;500;0,001;6;70
1,104;0,05;0,062;0,854;1000;0,001;6;70
1,1;0,054;0,068;0,854;1500;0,001;6;70
1,1;0,056;0,066;0,854;1700;0,001;6;70
1,102;0,06;0,066;0,852;2000;0,001;6;70
1,1;0,068;0,068;0,854;3000;0,001;6;70
1,104;0,048;0,064;0,854;500;0,002;6;70
1,102;0,06;0,068;0,852;1000;0,002;6;70
1,1;0,068;0,07;0,852;1500;0,002;6;70
1,1;0,072;0,07;0,852;1700;0,002;6;70
1,1;0,076;0,072;0,852;2000;0,002;6;70
1,102;0,086;0,072;0,854;3000;0,002;6;70
1,098;0,064;0,068;0,852;500;0,005;6;70
1,102;0,08;0,07;0,854;1000;0,005;6;70
1,104;0,094;0,076;0,852;1500;0,005;6;70
1,106;0,1;0,076;0,852;1700;0,005;6;70
1,108;0,11;0,074;0,856;2000;0,005;6;70
1,112;0,13;0,072;0,86;3000;0,005;6;70
1,102;0,078;0,072;0,852;500;0,01;8;70
1,11;0,108;0,072;0,856;1000;0,01;8;70
1,11;0,13;0,078;0,858;1500;0,01;8;70
1,114;0,138;0,076;0,86;1700;0,01;8;70
1,116;0,146;0,07;0,862;2000;0,01;8;70
1,126;0,182;0,066;0,87;3000;0,01;8;70
1,108;0,108;0,07;0,856;500;0,02;8;70
1,12;0,144;0,066;0,862;1000;0,02;8;70
1,124;0,182;0,07;0,864;1500;0,02;8;70
1,132;0,192;0,064;0,87;1700;0,02;8;70
1,132;0,206;0,062;0,87;2000;0,02;8;70
1,144;0,254;0,052;0,88;3000;0,02;8;70
1,126;0,166;0,064;0,866;500;0,05;8;70
1,142;0,232;0,054;0,874;1000;0,05;8;70
1,146;0,284;0,056;0,878;1500;0,05;8;70
1,158;0,296;0,046;0,89;1700;0,05;8;70
1,16;0,32;0,046;0,892;2000;0,05;8;70
1,174;0,378;0,038;0,898;3000;0,05;8;70
1,108;0,042;0,066;0,86;500;0,001;8;70
1,104;0,05;0,062;0,854;1000;0,001;8;70
1,1;0,054;0,068;0,854;1500;0,001;8;70
1,1;0,056;0,066;0,854;1700;0,001;8;70
1,102;0,06;0,066;0,852;2000;0,001;8;70
1,1;0,068;0,068;0,854;3000;0,001;8;70
1,104;0,048;0,064;0,854;500;0,002;8;70
1,102;0,06;0,068;0,852;1000;0,002;8;70
1,1;0,068;0,07;0,852;1500;0,002;8;70
1,1;0,072;0,07;0,852;1700;0,002;8;70
1,1;0,076;0,072;0,852;2000;0,002;8;70
1,102;0,086;0,072;0,854;3000;0,002;8;70
1,098;0,064;0,068;0,852;500;0,005;8;70
1,102;0,08;0,07;0,854;1000;0,005;8;70
1,104;0,094;0,076;0,852;1500;0,005;8;70
1,106;0,1;0,076;0,852;1700;0,005;8;70
1,108;0,11;0,074;0,856;2000;0,005;8;70
1,112;0,13;0,072;0,86;3000;0,005;8;70
