"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
1,072;0,626;0,106;0,824;500;0,005;6;2
1,078;0,756;0,11;0,822;1000;0,005;6;2
1,088;0,834;0,106;0,828;1500;0,005;6;2
1,09;0,854;0,108;0,83;1700;0,005;6;2
1,094;0,884;0,106;0,832;2000;0,005;6;2
1,102;0,94;0,106;0,842;3000;0,005;6;2
1,074;0,824;0,116;0,818;500;0,01;8;2
1,09;0,932;0,112;0,836;1000;0,01;8;2
1,104;0,97;0,108;0,844;1500;0,01;8;2
1,104;0,98;0,11;0,846;1700;0,01;8;2
1,106;0,982;0,108;0,85;2000;0,01;8;2
1,106;1;0,11;0,852;3000;0,01;8;2
1,09;0,93;0,112;0,834;500;0,02;8;2
1,104;0,984;0,11;0,852;1000;0,02;8;2
1,104;1;0,108;0,854;1500;0,02;8;2
1,104;1;0,11;0,854;1700;0,02;8;2
1,106;1;0,11;0,858;2000;0,02;8;2
1,106;1;0,11;0,862;3000;0,02;8;2
1,112;0,99;0,108;0,86;500;0,05;8;2
1,116;1;0,108;0,868;1000;0,05;8;2
1,116;1;0,108;0,868;1500;0,05;8;2
1,116;1;0,108;0,868;1700;0,05;8;2
1,116;1;0,108;0,868;2000;0,05;8;2
1,116;1;0,108;0,868;3000;0,05;8;2
1,086;0,544;0,1;0,842;500;0,001;8;2
1,072;0,594;0,106;0,83;1000;0,001;8;2
1,07;0,638;0,11;0,824;1500;0,001;8;2
1,07;0,654;0,112;0,82;1700;0,001;8;2
1,068;0,676;0,114;0,822;2000;0,001;8;2
1,068;0,74;0,116;0,818;3000;0,001;8;2
1,076;0,59;0,104;0,83;500;0,002;8;2
1,066;0,676;0,112;0,82;1000;0,002;8;2
1,066;0,738;0,12;0,818;1500;0,002;8;2
1,066;0,76;0,12;0,816;1700;0,002;8;2
1,068;0,79;0,12;0,816;2000;0,002;8;2
