"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
1,078;0,452;0,092;0,832;500;4;10
1,076;0,454;0,098;0,83;700;4;10
1,078;0,454;0,096;0,83;900;4;10
1,078;0,454;0,096;0,83;1000;4;10
1,078;0,452;0,096;0,83;1300;4;10
1,078;0,454;0,094;0,83;1500;4;10
1,078;0,454;0,092;0,83;1700;4;10
1,078;0,454;0,094;0,83;2000;4;10
1,078;0,446;0,084;0,836;100;5;10
1,076;0,456;0,088;0,834;300;5;10
1,076;0,456;0,092;0,834;500;5;10
1,076;0,456;0,092;0,834;700;5;10
1,076;0,456;0,094;0,832;900;5;10
1,076;0,456;0,094;0,832;1000;5;10
1,076;0,46;0,092;0,834;1300;5;10
1,078;0,458;0,092;0,834;1500;5;10
1,078;0,458;0,092;0,834;1700;5;10
1,078;0,458;0,092;0,832;2000;5;10
1,084;0,442;0,082;0,836;100;6;10
1,078;0,456;0,096;0,832;300;6;10
1,076;0,456;0,098;0,832;500;6;10
1,076;0,454;0,096;0,83;700;6;10
1,078;0,458;0,094;0,832;900;6;10
1,076;0,456;0,094;0,832;1000;6;10
1,078;0,456;0,094;0,832;1300;6;10
1,078;0,456;0,092;0,832;1500;6;10
1,078;0,456;0,094;0,832;1700;6;10
1,078;0,456;0,094;0,832;2000;6;10
1,074;0,45;0,09;0,83;100;7;10
1,074;0,456;0,094;0,832;300;7;10
1,076;0,458;0,09;0,832;500;7;10
1,074;0,46;0,092;0,832;700;7;10
1,076;0,464;0,092;0,832;900;7;10
1,076;0,464;0,09;0,832;1000;7;10
1,076;0,462;0,088;0,832;1300;7;10
1,076;0,46;0,092;0,832;1500;7;10
1,076;0,46;0,092;0,832;1700;7;10
1,076;0,46;0,092;0,832;2000;7;10
1,076;0,45;0,09;0,83;100;8;10
1,076;0,454;0,088;0,83;300;8;10
1,08;0,456;0,084;0,832;500;8;10
1,08;0,46;0,084;0,834;700;8;10
1,08;0,46;0,082;0,834;900;8;10
1,08;0,46;0,082;0,834;1000;8;10
1,08;0,46;0,084;0,834;1300;8;10
1,08;0,46;0,088;0,834;1500;8;10
1,08;0,46;0,088;0,834;1700;8;10
1,08;0,462;0,088;0,834;2000;8;10
1,08;0,452;0,082;0,836;100;9;10
1,078;0,458;0,088;0,834;300;9;10
1,076;0,458;0,088;0,834;500;9;10
1,076;0,458;0,09;0,834;700;9;10
1,078;0,462;0,086;0,834;900;9;10
1,078;0,462;0,086;0,832;1000;9;10
1,08;0,462;0,088;0,834;1300;9;10
1,078;0,462;0,088;0,834;1500;9;10
1,078;0,462;0,088;0,832;1700;9;10
1,078;0,46;0,088;0,834;2000;9;10
1,068;0,58;0,128;0,82;100;1;20
1,072;0,594;0,128;0,824;300;1;20
1,074;0,598;0,128;0,822;500;1;20
1,074;0,602;0,128;0,824;700;1;20
1,072;0,598;0,132;0,822;900;1;20
1,072;0,598;0,132;0,822;1000;1;20
1,072;0,598;0,132;0,82;1300;1;20
1,07;0,6;0,134;0,82;1500;1;20
1,068;0,6;0,138;0,82;1700;1;20
1,07;0,604;0,132;0,822;2000;1;20
1,066;0,594;0,12;0,82;100;2;20
1,062;0,604;0,128;0,814;300;2;20
1,066;0,61;0,126;0,818;500;2;20
1,066;0,608;0,126;0,816;700;2;20
1,064;0,608;0,126;0,816;900;2;20
1,064;0,612;0,128;0,816;1000;2;20
1,064;0,61;0,128;0,816;1300;2;20
1,064;0,612;0,128;0,816;1500;2;20
1,064;0,612;0,124;0,818;1700;2;20
1,064;0,612;0,124;0,816;2000;2;20
1,072;0,608;0,116;0,82;100;3;20
1,066;0,616;0,12;0,818;300;3;20
1,066;0,618;0,122;0,818;500;3;20
1,066;0,618;0,12;0,82;700;3;20
1,066;0,616;0,118;0,818;900;3;20
1,066;0,616;0,118;0,82;1000;3;20
1,064;0,616;0,118;0,82;1300;3;20
1,064;0,618;0,118;0,82;1500;3;20
1,064;0,618;0,118;0,82;1700;3;20
1,064;0,616;0,12;0,82;2000;3;20
1,07;0,612;0,106;0,822;100;4;20
1,066;0,62;0,114;0,82;300;4;20
1,066;0,624;0,108;0,824;500;4;20
1,066;0,622;0,114;0,822;700;4;20
1,064;0,62;0,114;0,822;900;4;20
1,066;0,624;0,114;0,822;1000;4;20
1,068;0,622;0,114;0,82;1300;4;20
1,066;0,622;0,114;0,822;1500;4;20
1,064;0,622;0,114;0,82;1700;4;20
1,064;0,622;0,114;0,822;2000;4;20
1,068;0,606;0,106;0,824;100;5;20
1,064;0,622;0,12;0,818;300;5;20
1,066;0,622;0,116;0,82;500;5;20
1,068;0,622;0,112;0,818;700;5;20
1,066;0,622;0,112;0,82;900;5;20
1,066;0,622;0,11;0,82;1000;5;20
1,066;0,622;0,11;0,818;1300;5;20
1,066;0,624;0,11;0,82;1500;5;20
1,066;0,624;0,11;0,82;1700;5;20
1,064;0,624;0,112;0,82;2000;5;20
1,072;0,618;0,102;0,82;100;6;20
1,066;0,626;0,11;0,82;300;6;20
1,064;0,628;0,114;0,818;500;6;20
1,064;0,634;0,118;0,818;700;6;20
1,066;0,63;0,114;0,818;900;6;20
1,066;0,63;0,116;0,818;1000;6;20
1,066;0,628;0,114;0,822;1300;6;20
1,064;0,628;0,114;0,818;1500;6;20
1,062;0,628;0,114;0,818;1700;6;20
1,064;0,63;0,116;0,818;2000;6;20
1,07;0,62;0,104;0,824;100;7;20
1,066;0,632;0,11;0,822;300;7;20
1,068;0,63;0,108;0,82;500;7;20
1,066;0,634;0,11;0,82;700;7;20
1,066;0,636;0,114;0,818;900;7;20
1,066;0,636;0,114;0,82;1000;7;20
1,066;0,634;0,114;0,818;1300;7;20
