"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
1,04;0,938;0,158;0,792;300;8;100
1,04;0,94;0,16;0,794;500;8;100
1,044;0,94;0,156;0,794;700;8;100
1,044;0,94;0,158;0,796;900;8;100
1,044;0,94;0,154;0,798;1000;8;100
1,044;0,94;0,152;0,798;1300;8;100
1,044;0,94;0,154;0,798;1500;8;100
1,042;0,94;0,156;0,798;1700;8;100
1,042;0,94;0,156;0,798;2000;8;100
1,058;0,928;0,134;0,806;100;9;100
1,05;0,938;0,146;0,798;300;9;100
1,046;0,94;0,152;0,796;500;9;100
1,046;0,94;0,154;0,796;700;9;100
1,044;0,94;0,152;0,796;900;9;100
1,044;0,94;0,154;0,796;1000;9;100
1,044;0,94;0,154;0,798;1300;9;100
1,044;0,94;0,154;0,8;1500;9;100
1,044;0,94;0,152;0,798;1700;9;100
1,044;0,94;0,154;0,798;2000;9;100
