"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
6,008;0,942;0,102;4,808;900;8;100
6,008;0,944;0,102;4,804;1000;8;100
6,004;0,944;0,102;4,798;1300;8;100
6,006;0,944;0,102;4,8;1500;8;100
6,008;0,946;0,102;4,802;1700;8;100
6,006;0,946;0,102;4,802;2000;8;100
6,03;0,932;0,106;4,832;100;9;100
6,002;0,94;0,108;4,796;300;9;100
5,996;0,942;0,106;4,796;500;9;100
6,006;0,942;0,102;4,802;700;9;100
6,002;0,944;0,102;4,8;900;9;100
6;0,944;0,106;4,798;1000;9;100
5,996;0,944;0,106;4,794;1300;9;100
5,998;0,944;0,106;4,794;1500;9;100
6,002;0,944;0,106;4,798;1700;9;100
5,998;0,944;0,106;4,794;2000;9;100
