"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
6,102;0,428;0,064;4,926;500;4;10
6,096;0,428;0,064;4,922;700;4;10
6,094;0,428;0,064;4,92;900;4;10
6,096;0,426;0,064;4,92;1000;4;10
6,092;0,426;0,066;4,918;1300;4;10
6,092;0,428;0,064;4,918;1500;4;10
6,092;0,428;0,064;4,916;1700;4;10
6,092;0,428;0,064;4,918;2000;4;10
6,12;0,416;0,054;4,944;100;5;10
6,106;0,424;0,06;4,934;300;5;10
6,106;0,428;0,06;4,936;500;5;10
6,106;0,426;0,058;4,932;700;5;10
6,106;0,428;0,06;4,932;900;5;10
6,106;0,43;0,06;4,932;1000;5;10
6,106;0,432;0,062;4,93;1300;5;10
6,104;0,43;0,062;4,928;1500;5;10
6,104;0,43;0,062;4,926;1700;5;10
6,104;0,43;0,062;4,93;2000;5;10
6,14;0,418;0,044;4,97;100;6;10
6,128;0,434;0,05;4,946;300;6;10
6,114;0,434;0,056;4,93;500;6;10
6,114;0,434;0,058;4,93;700;6;10
6,108;0,434;0,058;4,932;900;6;10
6,108;0,434;0,058;4,93;1000;6;10
6,108;0,434;0,058;4,926;1300;6;10
6,108;0,434;0,058;4,928;1500;6;10
6,106;0,434;0,058;4,926;1700;6;10
6,106;0,434;0,058;4,926;2000;6;10
6,116;0,426;0,054;4,95;100;7;10
6,112;0,432;0,058;4,936;300;7;10
6,106;0,432;0,062;4,926;500;7;10
6,11;0,436;0,062;4,932;700;7;10
6,112;0,436;0,06;4,934;900;7;10
6,108;0,436;0,058;4,932;1000;7;10
6,104;0,436;0,06;4,928;1300;7;10
6,1;0,436;0,062;4,924;1500;7;10
6,102;0,436;0,062;4,926;1700;7;10
6,104;0,436;0,062;4,928;2000;7;10
6,1;0,43;0,058;4,92;100;8;10
6,102;0,436;0,058;4,928;300;8;10
6,106;0,438;0,058;4,932;500;8;10
6,108;0,438;0,06;4,93;700;8;10
6,11;0,436;0,058;4,93;900;8;10
6,11;0,438;0,06;4,932;1000;8;10
6,102;0,44;0,062;4,922;1300;8;10
6,104;0,44;0,06;4,928;1500;8;10
6,102;0,44;0,06;4,926;1700;8;10
6,1;0,44;0,062;4,924;2000;8;10
6,09;0,432;0,058;4,916;100;9;10
6,1;0,436;0,06;4,924;300;9;10
6,106;0,438;0,058;4,932;500;9;10
6,104;0,44;0,06;4,928;700;9;10
6,102;0,44;0,06;4,926;900;9;10
6,104;0,44;0,06;4,928;1000;9;10
6,106;0,438;0,06;4,926;1300;9;10
6,104;0,438;0,06;4,928;1500;9;10
6,104;0,44;0,058;4,928;1700;9;10
6,106;0,44;0,062;4,93;2000;9;10
6,08;0,56;0,076;4,894;100;1;20
6,064;0,57;0,082;4,87;300;1;20
6,07;0,57;0,08;4,882;500;1;20
6,062;0,57;0,082;4,874;700;1;20
6,062;0,572;0,082;4,872;900;1;20
6,06;0,568;0,084;4,87;1000;1;20
6,06;0,568;0,084;4,87;1300;1;20
6,062;0,568;0,084;4,872;1500;1;20
6,062;0,568;0,084;4,87;1700;1;20
6,062;0,568;0,084;4,87;2000;1;20
6,036;0,562;0,084;4,846;100;2;20
6,034;0,58;0,084;4,866;300;2;20
6,036;0,58;0,082;4,866;500;2;20
6,036;0,578;0,084;4,856;700;2;20
6,032;0,58;0,088;4,85;900;2;20
6,032;0,58;0,088;4,846;1000;2;20
6,03;0,582;0,088;4,85;1300;2;20
6,032;0,582;0,088;4,852;1500;2;20
6,034;0,582;0,086;4,852;1700;2;20
6,034;0,582;0,086;4,85;2000;2;20
6,002;0,574;0,098;4,814;100;3;20
6,024;0,592;0,088;4,834;300;3;20
6,03;0,594;0,086;4,838;500;3;20
6,038;0,592;0,084;4,848;700;3;20
6,04;0,594;0,084;4,854;900;3;20
6,038;0,594;0,082;4,85;1000;3;20
6,044;0,594;0,082;4,854;1300;3;20
6,04;0,592;0,082;4,854;1500;3;20
6,04;0,592;0,082;4,856;1700;3;20
6,05;0,59;0,08;4,86;2000;3;20
6,05;0,584;0,078;4,868;100;4;20
6,07;0,59;0,076;4,882;300;4;20
6,056;0,59;0,078;4,87;500;4;20
6,052;0,59;0,08;4,866;700;4;20
6,05;0,596;0,08;4,866;900;4;20
6,048;0,596;0,08;4,858;1000;4;20
6,046;0,594;0,08;4,862;1300;4;20
6,048;0,596;0,082;4,86;1500;4;20
6,048;0,596;0,078;4,862;1700;4;20
6,046;0,598;0,082;4,864;2000;4;20
6,072;0,584;0,072;4,878;100;5;20
6,046;0,598;0,08;4,86;300;5;20
6,036;0,602;0,082;4,85;500;5;20
6,04;0,6;0,08;4,852;700;5;20
6,034;0,6;0,084;4,85;900;5;20
6,032;0,6;0,084;4,846;1000;5;20
6,036;0,6;0,084;4,852;1300;5;20
6,034;0,6;0,084;4,85;1500;5;20
6,036;0,6;0,082;4,854;1700;5;20
6,042;0,6;0,08;4,856;2000;5;20
6,096;0,6;0,072;4,914;100;6;20
6,068;0,606;0,076;4,884;300;6;20
6,06;0,61;0,078;4,874;500;6;20
