"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
2,982;0,398;0,074;2,422;500;4;10
2,984;0,396;0,074;2,422;700;4;10
2,984;0,398;0,076;2,424;900;4;10
2,984;0,396;0,076;2,424;1000;4;10
2,984;0,398;0,074;2,422;1300;4;10
2,984;0,398;0,074;2,422;1500;4;10
2,984;0,398;0,074;2,422;1700;4;10
2,986;0,398;0,074;2,424;2000;4;10
2,976;0,392;0,074;2,418;100;5;10
2,98;0,404;0,07;2,42;300;5;10
2,982;0,402;0,074;2,424;500;5;10
2,984;0,404;0,07;2,426;700;5;10
2,982;0,402;0,07;2,426;900;5;10
2,982;0,404;0,07;2,424;1000;5;10
2,986;0,402;0,072;2,422;1300;5;10
2,986;0,402;0,07;2,424;1500;5;10
2,986;0,402;0,07;2,424;1700;5;10
2,986;0,4;0,072;2,424;2000;5;10
3;0,396;0,06;2,428;100;6;10
2,99;0,4;0,064;2,426;300;6;10
2,99;0,4;0,068;2,426;500;6;10
2,99;0,396;0,068;2,426;700;6;10
2,986;0,402;0,068;2,424;900;6;10
2,988;0,402;0,07;2,426;1000;6;10
2,99;0,4;0,068;2,422;1300;6;10
2,99;0,4;0,068;2,424;1500;6;10
2,99;0,402;0,068;2,424;1700;6;10
2,99;0,402;0,07;2,426;2000;6;10
2,99;0,402;0,072;2,426;100;7;10
2,996;0,404;0,066;2,432;300;7;10
2,988;0,4;0,066;2,43;500;7;10
2,992;0,402;0,066;2,43;700;7;10
2,992;0,402;0,068;2,424;900;7;10
2,992;0,4;0,066;2,426;1000;7;10
2,992;0,402;0,066;2,428;1300;7;10
2,992;0,404;0,066;2,428;1500;7;10
2,992;0,404;0,066;2,426;1700;7;10
2,992;0,404;0,068;2,426;2000;7;10
3;0,392;0,062;2,43;100;8;10
2,996;0,402;0,066;2,432;300;8;10
2,99;0,404;0,066;2,428;500;8;10
2,988;0,404;0,07;2,424;700;8;10
2,992;0,404;0,07;2,426;900;8;10
2,992;0,404;0,07;2,424;1000;8;10
2,992;0,404;0,068;2,428;1300;8;10
2,992;0,404;0,068;2,428;1500;8;10
2,992;0,404;0,068;2,428;1700;8;10
2,992;0,406;0,068;2,428;2000;8;10
2,986;0,4;0,074;2,42;100;9;10
2,984;0,404;0,07;2,422;300;9;10
2,992;0,404;0,07;2,424;500;9;10
2,992;0,406;0,068;2,428;700;9;10
2,992;0,406;0,064;2,428;900;9;10
2,992;0,406;0,068;2,428;1000;9;10
2,992;0,406;0,068;2,426;1300;9;10
2,992;0,406;0,068;2,428;1500;9;10
2,992;0,406;0,066;2,43;1700;9;10
2,992;0,406;0,066;2,43;2000;9;10
2,984;0,53;0,074;2,414;100;1;20
2,982;0,546;0,08;2,42;300;1;20
2,974;0,554;0,084;2,412;500;1;20
2,976;0,556;0,088;2,412;700;1;20
2,972;0,558;0,09;2,412;900;1;20
2,972;0,558;0,088;2,412;1000;1;20
2,972;0,558;0,086;2,41;1300;1;20
2,974;0,558;0,086;2,412;1500;1;20
2,974;0,558;0,086;2,41;1700;1;20
2,974;0,558;0,086;2,41;2000;1;20
2,962;0,538;0,084;2,402;100;2;20
2,97;0,55;0,082;2,404;300;2;20
2,97;0,552;0,084;2,404;500;2;20
2,968;0,552;0,084;2,404;700;2;20
2,968;0,552;0,086;2,404;900;2;20
2,968;0,552;0,086;2,404;1000;2;20
2,968;0,552;0,086;2,406;1300;2;20
2,966;0,554;0,086;2,404;1500;2;20
2,968;0,556;0,086;2,404;1700;2;20
2,97;0,554;0,084;2,404;2000;2;20
2,974;0,54;0,076;2,414;100;3;20
2,976;0,55;0,078;2,414;300;3;20
2,976;0,552;0,074;2,41;500;3;20
2,974;0,552;0,076;2,412;700;3;20
2,976;0,558;0,076;2,408;900;3;20
2,972;0,558;0,08;2,408;1000;3;20
2,97;0,558;0,08;2,406;1300;3;20
2,968;0,558;0,082;2,406;1500;3;20
2,97;0,558;0,082;2,404;1700;3;20
2,966;0,558;0,084;2,404;2000;3;20
2,972;0,548;0,08;2,402;100;4;20
