"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
2,988;0,938;0,084;2,402;2000;7;100
3,008;0,924;0,08;2,414;100;8;100
2,978;0,934;0,09;2,384;300;8;100
2,994;0,936;0,084;2,396;500;8;100
2,988;0,938;0,084;2,398;700;8;100
2,986;0,938;0,086;2,39;900;8;100
2,986;0,938;0,086;2,39;1000;8;100
2,986;0,938;0,084;2,394;1300;8;100
2,988;0,938;0,084;2,396;1500;8;100
2,988;0,938;0,084;2,396;1700;8;100
2,99;0,938;0,084;2,398;2000;8;100
3,03;0,928;0,066;2,448;100;9;100
3;0,936;0,082;2,41;300;9;100
3,004;0,936;0,078;2,414;500;9;100
3;0,936;0,082;2,406;700;9;100
2,998;0,938;0,08;2,404;900;9;100
2,996;0,938;0,08;2,41;1000;9;100
2,994;0,938;0,08;2,406;1300;9;100
2,994;0,938;0,08;2,406;1500;9;100
2,994;0,938;0,078;2,404;1700;9;100
2,992;0,938;0,08;2,404;2000;9;100
