"Richesse_tot";"gps_x";"bio4";"bio7";"gps_y";"pH";"CaCO3";"bio18";"P";"CEC";"bio13";"N";"bio16";"hurs_mean";"bio10";"PET";"bio15";"elevation";"gdd10";"bio9";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
9;-0,337262981536457;0,174915530336327;0,166524225688121;-0,739393671930323;-0,171303925134743;-0,82350204049135;-0,315162776998747;-1,60000258228994;-0,384332664927077;-0,0639424168893097;-0,138885895112857;0,0201923625772649;-0,558833749417851;0,747057043012999;0,721273673049814;-0,153814518538768;-0,157888491052855;0,719150392435231;1,32597925597637;0;0;0;1;0;0
10;-0,337262981536457;0,174915530336327;0,166524225688121;-0,739393671930323;-0,171303925134743;-0,82350204049135;-0,315162776998747;-1,60000258228994;-0,384332664927077;-0,0639424168893097;-0,138885895112857;0,0201923625772649;-0,558833749417851;0,747057043012999;0,721273673049814;-0,153814518538768;-0,157888491052855;0,719150392435231;1,32597925597637;0;0;0;0;1;0
7;-0,226457829102118;0,0548052001563064;0,0283643030536874;0,249949244405597;-0,549030509972751;-0,729619967766407;-0,902429844578379;0,25219211734176;-0,378761905474198;-0,859921821897299;-1,0150361467502;-0,971248691993622;0,599410529175662;-0,172672271740393;0,190192584918466;-0,24537319371379;-0,219184266348581;-0,266399288076129;1,04776822756406;0;0;0;1;0;0
6;-0,226457829102118;0,0548052001563064;0,0283643030536874;0,249949244405597;-0,549030509972751;-0,729619967766407;-0,902429844578379;0,25219211734176;-0,378761905474198;-0,859921821897299;-1,0150361467502;-0,971248691993622;0,599410529175662;-0,172672271740393;0,190192584918466;-0,24537319371379;-0,219184266348581;-0,266399288076129;1,04776822756406;1;0;0;0;0;0
2;-0,755757372406255;-0,216110322360853;-0,0407156582635292;-1,07123256752927;-0,360167217553747;1,81404336167161;-0,257646930173937;-1,46931417624526;1,59893842801931;1,24169286614538;1,62643193123714;1,41182970489583;-0,234525351411669;0,393314998877067;0,80114602667379;0,85333090838647;-0,602404494789698;0,476464953578093;1,24415248291393;0;0;0;1;0;0
2;-0,755757372406255;-0,216110322360853;-0,0407156582635292;-1,07123256752927;-0,360167217553747;1,81404336167161;-0,257646930173937;-1,46931417624526;1,59893842801931;1,24169286614538;1,62643193123714;1,41182970489583;-0,234525351411669;0,393314998877067;0,80114602667379;0,85333090838647;-0,602404494789698;0,476464953578093;1,24415248291393;0;0;0;1;0;0
7;-0,755757372406255;-0,216110322360853;-0,0407156582635292;-1,07123256752927;-0,360167217553747;1,81404336167161;-0,257646930173937;-1,46931417624526;1,59893842801931;1,24169286614538;1,62643193123714;1,41182970489583;-0,234525351411669;0,393314998877067;0,80114602667379;0,85333090838647;-0,602404494789698;0,476464953578093;1,24415248291393;1;0;0;0;0;0
5;-0,755757372406255;-0,216110322360853;-0,0407156582635292;-1,07123256752927;-0,360167217553747;1,81404336167161;-0,257646930173937;-1,46931417624526;1,59893842801931;1,24169286614538;1,62643193123714;1,41182970489583;-0,234525351411669;0,393314998877067;0,80114602667379;0,85333090838647;-0,602404494789698;0,476464953578093;1,24415248291393;1;0;0;0;0;0
6;0,0365434133821076;-0,274830928226641;-0,24795554221518;1,1186066016344;0,395285952122273;1,47219903573546;-0,433221620481249;0,449922692189828;0,058468361892305;-0,630863000312266;0,0864070055174277;-0,729924297371905;0,791348152485442;-0,738659542357893;-0,44177989726422;-0,535308998434692;-0,44726648194463;-0,803186572327933;-0,768786134422199;0;0;0;1;0;0
14;0,0365434133821076;-0,274830928226641;-0,24795554221518;1,1186066016344;0,395285952122273;1,47219903573546;-0,433221620481249;0,449922692189828;0,058468361892305;-0,630863000312266;0,0864070055174277;-0,729924297371905;0,791348152485442;-0,738659542357893;-0,44177989726422;-0,535308998434692;-0,44726648194463;-0,803186572327933;-0,768786134422199;1;0;0;0;0;0
