"BM_tot";"gps_x";"CaCO3";"P";"clay";"gps_y";"bio4";"sand";"N";"CEC";"gdd10";"PET";"CN";"pH";"hurs_mean";"silt";"bio12";"K";"bio3";"bio7";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
13,4627436530102;-0,598745968529781;-1,00071163661612;0,0907677016180766;-1,9027860939157;0,0722804426150197;-0,156055157270843;3,07142914963504;-0,0723903493967225;-1,40995357977003;0,144520632971804;0,740891444115352;-0,499945520789054;-0,360167217553747;-0,194814119002747;-2,74636422860833;-0,720914559049914;-2,81308256559707;0,516077973163222;-0,144335600239355;0;0;0;0;1;0
9,87730732537973;0,0305968840652423;0,028205911941149;-2,67405522481112;-0,180944457107054;-2,94337145945355;-0,0386139455392661;0,829708066984218;-0,574475953413041;1,30175289846289;0,491272878660901;2,30470805191109;1,60995382306231;-0,549030509972751;-0,108773115450089;-0,99027273831608;1,32748945665855;1,10363257139341;0,648736666314597;0,270144167663946;0;0;0;1;0;0
12,6951670594233;-0,689715149067144;1,56099962045783;-0,596688062741215;1,04586770911911;-1,42860445001075;0,0588088778289739;-0,323684046780717;0,0313315713218609;1,90547634608213;1,24071842035193;1,49197182205309;-0,403546255209844;1,71732899905531;-1,15450223555166;-0,340759447386068;0,0217909342232643;2,2477952981541;1,35625075073283;0,339224128981163;0;0;0;1;0;0
10,9272823702877;-0,689715149067144;1,56099962045783;-0,596688062741215;1,04586770911911;-1,42860445001075;0,0588088778289739;-0,323684046780717;0,0313315713218609;1,90547634608213;1,24071842035193;1,49197182205309;-0,403546255209844;1,71732899905531;-1,15450223555166;-0,340759447386068;0,0217909342232643;2,2477952981541;1,35625075073283;0,339224128981163;1;0;0;0;0;0
13,2734371333628;-0,849076978808863;1,47280101652869;-0,388814020871299;0,475507666926242;-0,828553608116639;-0,21477576313663;-1,0038896523344;1,29081161801142;0,791105415504154;0,736426305031841;0,962292003283566;-0,71788457334363;1,15073912179829;-0,188195580267926;1,0063792300984;0,845605592714713;1,12717985282072;0,692956230698389;-0,144335600239355;0;0;0;0;1;0
8,86090476945404;0,29471215553883;-0,254671824480605;1,55540635171438;-0,299321069637648;1,24134797310468;-0,200095611670183;-0,447895505186171;-1,02423478445345;-0,122069072867271;-0,683077846656265;-0,3941367389622;-1,49464181210389;1,15073912179829;0,420709983335517;0,829968212808769;-1,06602610517471;0,256858154141594;0,294980151244266;-0,178875580897964;0;0;0;1;0;0
12,9792899138076;0,29471215553883;-0,254671824480605;1,55540635171438;-0,299321069637648;1,24134797310468;-0,200095611670183;-0,447895505186171;-1,02423478445345;-0,122069072867271;-0,683077846656265;-0,3941367389622;-1,49464181210389;1,15073912179829;0,420709983335517;0,829968212808769;-1,06602610517471;0,256858154141594;0,294980151244266;-0,178875580897964;0;0;0;0;1;0
3,96559369241647;0,739710193200896;0,949119132504277;-1,38315435069344;-0,191705967337108;-2,31137699212486;1,32797470006453;-0,158068768906777;-0,96830034777904;0,937997066788984;3,23937697527876;2,56114034512491;-0,652755872094429;0,773012536960281;-4,12622612748587;0,35686593916839;1,4141649371369;3,50927921006456;0,869834488233553;2,16984310388741;0;0;0;1;0;0
6,70863125632445;0,739710193200896;0,949119132504277;-1,38315435069344;-0,191705967337108;-2,31137699212486;1,32797470006453;-0,158068768906777;-0,96830034777904;0,937997066788984;3,23937697527876;2,56114034512491;-0,652755872094429;0,773012536960281;-4,12622612748587;0,35686593916839;1,4141649371369;3,50927921006456;0,869834488233553;2,16984310388741;1;0;0;0;0;0
8,39688037309095;0,739710193200896;0,949119132504277;-1,38315435069344;-0,191705967337108;-2,31137699212486;1,32797470006453;-0,158068768906777;-0,96830034777904;0,937997066788984;3,23937697527876;2,56114034512491;-0,652755872094429;0,773012536960281;-4,12622612748587;0,35686593916839;1,4141649371369;3,50927921006456;0,869834488233553;2,16984310388741;1;0;0;0;0;0
8,31349304845242;-0,934638053031381;-1,08529834689893;-0,419437950032866;-0,815873560680241;-0,00673124956095678;-0,449658186599783;0,49847751123634;0,778052914308533;-1,61142008627194;0,0684243512962613;0,641401319425839;-0,425817409014847;-1,68221026448678;-0,122010192919725;-0,0681242388475439;-0,801228536373888;-1,17973970330297;1,00249318138493;-0,317035503532397;0;0;0;1;0;0
14,6704067201061;-0,93234578876153;-1,02858014377428;-0,603725349763726;-0,891204132290619;-0,0110893717166861;-0,428305239012224;0,569455487468028;-0,0494161288154765;-1,53878563800813;0,0943382201911758;0,752101599009946;-0,454565841301156;-1,11562038722977;-0,161721425328647;-0,108217651867915;-0,840987931088726;-1,30761834822262;0,914054052617345;-0,282495522873789;0;0;0;1;0;0
13,6991788075052;-0,990018281350403;-0,366799335570144;0,0123729656770758;-1,06338829597148;0,152124507289092;-0,568433957555582;-0,305939552722794;0,663771596195632;-1,31264478551935;-0,242953406695016;0,03885549384146;-0,668940387409009;-0,926757094810761;0,374380212191781;1,20684629520026;-0,331272490844499;-0,529863795368731;1,04671274576872;-0,455195426166831;0;0;0;1;0;0
7,63522538414333;-1,07594319195523;-0,586468690567227;0,226196284659073;-0,945011683440889;0,0982083963142834;-0,69788620230516;-0,317769215428076;0,761017621198415;-1,54118505540152;-0,369643432403487;0,358344908337363;-0,876207288964797;-0,926757094810761;0,771492536280985;1,13467815176359;-0,0513663520520376;-0,449135035706047;1,1351518745363;-0,524275387484048;0;0;0;1;0;0
9,25965712108175;-0,975077722350653;-0,480932141144465;-0,314588247713952;-0,719019968609755;0,198428979298989;-0,624485444972925;-0,311854384075435;0,960154593233031;-1,17736845014968;-0,386508013747796;0,216816702793125;-0,458478251055999;-0,737893802391757;0,68545153272832;0,958267134473956;0,0567792015723218;-0,635152358009274;0,914054052617345;-0,489735406825439;0;0;0;1;0;0
11,8563625675556;-0,610352278820578;1,95559939545637;-1,45729453181576;-0,256275028717432;-1,50445803947298;0,0561397593805293;0,457073691767855;-0,125821868515363;1,42358651929804;1,1905360075713;0,662420359853201;0,100733913943906;0,773012536960281;-1,11479100314274;-0,428964956030884;0,569675393393735;1,70571539515114;1,04671274576872;0,304684148322555;0;0;0;1;0;0
7,1714712576988;-0,931512528202082;1,07230769941048;-0,0973329584182677;0,486269177156296;-0,810604011250793;-0,276165487450864;-1,11035661668193;2,25275892964606;1,0492686589068;0,840493111863799;1,16547606074807;-1,36779466333786;1,71732899905531;-0,61840059803123;1,13467815176359;0,296130757755648;1,84659784431344;0,825614923849761;-0,213415561556571;0;0;0;1;0;0
8,05545881167961;-1,05264819941379;1,25407700570812;0,62773356787288;0,819875994287971;-0,741790287484981;-0,402948613751997;-0,737722241465565;-0,213388771934766;0,756793765001576;0,767687480206658;1,06738720542038;-0,831307061636649;0,961875829379287;-0,373514664842892;0,396959352188761;0,267503993560965;2,05789112113253;0,78139535946597;-0,24795554221518;0;0;0;1;0;0
9,54495940274237;-1,0923394585133;0,871828302245372;1,18195695071292;0,314085013475432;-0,777973345596369;-0,55642292453758;-0,844189205813097;0,00220862420121347;0,340785412375145;0,828153174294792;1,17108113819536;-1,23701573975761;0,584149244541277;-0,486029823334829;0,910155038849511;0,071887771563961;2,28048354267596;0,383419280011849;-0,524275387484048;0;0;0;1;0;0
