"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,005;2000;6;2;5,79;0,356301525889369;4,41497037716219
0,005;3000;6;2;5,76;0,361687113435846;4,39253726150189
0,01;1000;8;2;5,77;0,359432275882209;4,39165419670081
0,01;1500;8;2;5,73;0,367702225640835;4,3912164080227
0,01;1700;8;2;5,72;0,368448583285321;4,3658378420136
0,01;2000;8;2;5,71;0,371284413842391;4,35222851864664
0,01;3000;8;2;5,75;0,363470504327013;4,36607664814899
0,02;1000;8;2;5,71;0,372393469307248;4,34009137684464
0,02;1500;8;2;5,74;0,367090102880853;4,35634300249857
0,02;1700;8;2;5,72;0,370859099802796;4,34741108367585
0,02;2000;8;2;5,75;0,365243935522343;4,37294374740307
0,02;3000;8;2;5,83;0,350395337483112;4,41477424937905
0,05;1000;8;2;5,9;0,33817649866559;4,46462600077792
0,05;1500;8;2;5,85;0,349318200095813;4,42940877588406
0,05;1700;8;2;5,98;0,322692739574329;4,55774306904685
0,05;2000;8;2;6;0,324096838826481;4,55139371523407
0,05;3000;8;2;6,04;0,320073767005218;4,60446664554049
0,001;1000;8;2;6,23;0,318687542333116;4,80150719582057
0,001;1500;8;2;6,08;0,325554189709948;4,66885385636863
0,001;1700;8;2;6,03;0,330086813790219;4,63095244388696
0,001;2000;8;2;5,98;0,333817995613662;4,58826512708034
0,001;3000;8;2;5,9;0,340060690515746;4,51405357206364
0,002;1000;8;2;5,99;0,332084671792626;4,59253159960691
0,002;1500;8;2;5,89;0,341276955366998;4,5097269512506
0,002;1700;8;2;5,88;0,342823064429951;4,49333547467702
0,002;2000;8;2;5,84;0,349301756123392;4,46523310431122
0,002;3000;8;2;5,8;0,354247698551456;4,42111798415977
0,005;1000;8;2;5,83;0,347565276868871;4,4536001279365
0,005;1500;8;2;5,79;0,355407311770762;4,41855381947717
0,005;1700;8;2;5,77;0,359974997817369;4,4005356660414
0,005;2000;8;2;5,76;0,361999151547365;4,3895808072548
0,005;3000;8;2;5,71;0,370886824364439;4,35479827554471
0,01;1000;10;2;5,73;0,367253271101634;4,35595139515903
0,01;1500;10;2;5,68;0,37722308676973;4,33180619777772
0,01;1700;10;2;5,69;0,375607261255384;4,32593279858788
0,01;2000;10;2;5,71;0,37215438108246;4,34452579670124
0,01;3000;10;2;5,75;0,364045550155994;4,36629542341174
0,02;1000;10;2;5,77;0,358191959600173;4,38686583279785
0,02;1500;10;2;5,77;0,36057433195274;4,37978598135267
0,02;1700;10;2;5,75;0,363989725809394;4,36610989000034
0,02;2000;10;2;5,78;0,359590146985854;4,40005367236205
0,02;3000;10;2;5,82;0,35380145425548;4,4049766035646
0,05;1000;10;2;5,79;0,360504657939685;4,41874977105417
0,05;1500;10;2;6,02;0,318379947358006;4,52068968888374
0,05;1700;10;2;5,93;0,335221553963459;4,45862182155374
0,05;2000;10;2;5,99;0,327930245741222;4,50220786807792
0,05;3000;10;2;6,03;0,322287543061289;4,5662903718639
0,001;1000;10;2;6,19;0,329700083769881;4,76614353630201
