"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,005;3000;6;2;1,98;0,516639294955014;1,51117261768766
0,01;1000;8;2;1,99;0,514679212116119;1,51978533768343
0,01;1500;8;2;1,99;0,514407053012782;1,51193466425727
0,01;1700;8;2;1,98;0,519382984246289;1,50701686805361
0,01;2000;8;2;1,97;0,520680873734254;1,49574547134756
0,01;3000;8;2;1,98;0,514318985287248;1,5055913581104
0,02;1000;8;2;1,98;0,514194071559606;1,51117579355189
0,02;1500;8;2;1,97;0,521691402567662;1,49379799396333
0,02;1700;8;2;1,96;0,527028060814141;1,49223207947957
0,02;2000;8;2;1,98;0,517331233570995;1,49491439181457
0,02;3000;8;2;2,02;0,498734230180643;1,54132783091395
0,05;1000;8;2;2,04;0,485811909948651;1,55697919831811
0,05;1500;8;2;2,06;0,475559241193286;1,57973454886676
0,05;1700;8;2;2,01;0,501912465476982;1,51696716577577
0,05;2000;8;2;2,06;0,478188141415269;1,57798558647853
0,05;3000;8;2;2,07;0,474603328063828;1,58194729572541
0,001;1000;8;2;2,27;0,465675059457726;1,78642595799946
0,001;1500;8;2;2,17;0,477465148462801;1,6953238669142
0,001;1700;8;2;2,14;0,480898238566294;1,66954106974077
0,001;2000;8;2;2,11;0,485574549732985;1,63895522170092
0,001;3000;8;2;2,06;0,494092955799166;1,58951350179266
0,002;1000;8;2;2,11;0,485700651242244;1,63953938596289
0,002;1500;8;2;2,06;0,494058832995709;1,58961123733101
0,002;1700;8;2;2,04;0,496917884528637;1,58008240189833
0,002;2000;8;2;2,03;0,499647752962169;1,56749245412853
0,002;3000;8;2;2,01;0,508346686122168;1,54177430805567
0,005;1000;8;2;2,02;0,501795242902553;1,55648106816435
0,005;1500;8;2;2;0,510328359240518;1,53361264733122
0,005;1700;8;2;1,99;0,513163366943073;1,52380727856882
0,005;2000;8;2;1,99;0,516098821145975;1,51805494997528
0,005;3000;8;2;1,98;0,52028315355092;1,50247167909432
0,01;1000;10;2;1,97;0,520961976341669;1,50591918046762
0,01;1500;10;2;1,97;0,521247416822851;1,49618491611703
0,01;1700;10;2;1,96;0,525208272367611;1,48872593577874
0,01;2000;10;2;1,97;0,52322934413382;1,49279538705283
0,01;3000;10;2;1,97;0,520549870765203;1,48897170740522
0,02;1000;10;2;1,97;0,521874477915484;1,49651439121055
0,02;1500;10;2;2;0,508699066183375;1,50738892127008
0,02;1700;10;2;1,97;0,519912652842462;1,49157795128614
0,02;2000;10;2;2;0,504531012999955;1,52129198650075
0,02;3000;10;2;2,02;0,498033488759475;1,52466586217826
0,05;1000;10;2;2,02;0,493373335560798;1,54561446958975
0,05;1500;10;2;2,04;0,489094598359405;1,56663504661118
0,05;1700;10;2;2,09;0,462998876031947;1,58907551090512
0,05;2000;10;2;2,07;0,471939383470995;1,57724353413125
0,05;3000;10;2;2,04;0,484838787059498;1,55163686417136
0,001;1000;10;2;2,25;0,478357816261258;1,76789394224471
0,001;1500;10;2;2,14;0,488545083646359;1,6739226974564
0,001;1700;10;2;2,12;0,491050144870916;1,64933088305483
0,001;2000;10;2;2,09;0,4939528722298;1,62032762317551
0,001;3000;10;2;2,04;0,49909676697452;1,57713396057262
0,002;1000;10;2;2,09;0,492528367604424;1,62484058563699
0,002;1500;10;2;2,04;0,499054468951405;1,57590270409594
0,002;1700;10;2;2,02;0,506263966724281;1,56006480648938
0,002;2000;10;2;2,02;0,507279166117693;1,55080486494342
0,002;3000;10;2;1,99;0,513646637280807;1,5289339092022
0,005;1000;10;2;2,01;0,507553557731416;1,54312984750275
0,005;1500;10;2;1,98;0,518990969366458;1,51607974394867
0,005;1700;10;2;1,98;0,519438021289884;1,51172868778065
0,005;2000;10;2;1,97;0,524391657762077;1,4973255692686
0,005;3000;10;2;1,97;0,523242934682366;1,49855202495906
0,01;1000;3;5;2,05;0,484376403818913;1,58419803445314
0,01;1500;3;5;2,03;0,494740927541361;1,56066256550418
0,01;1700;3;5;2,03;0,495401625152394;1,55691122659581
0,01;2000;3;5;2,02;0,497658047573501;1,5524482734234
