"ID_2";"AB_tot";"BM_tot";"Richesse_tot"
"VitiEcobioSol-CIBC_BO_Herb_2000_BO_Herb_R";75;129,674666666667;8
"VitiEcobioSol-CIBC_BO_LuttIntegr_1990_BO_LuttIntegr_BL";22;37,16045;4,25
"VitiEcobioSol-CIBC_BO_LuttIntegr_1990_BO_LuttIntegr_O";14,125;26,118575;4,75
"VitiEcobioSol-CIBC_BO_LuttIntegr_1993_BO_LuttIntegr_BL";39,8333333333333;54,43825;7,5
"VitiEcobioSol-CIBC_BO_LuttIntegr_1993_BO_LuttIntegr_O";55,5;72,8326833333333;7
"VitiEcobioSol-CIBC_BO_LuttIntegr_1996_BO_LuttIntegr_BL";47,6666666666667;46,2683333333333;9
"VitiEcobioSol-CIBC_BO_LuttIntegr_1996_BO_LuttIntegr_O";60,6666666666667;58,6376666666666;8
"VitiEcobioSol-CIBC_BO_LuttIntegr_1999_BO_LuttIntegr_BL";110,555555555556;130,269666666667;7,33333333333333
"VitiEcobioSol-CIBC_BO_LuttIntegr_1999_BO_LuttIntegr_O";139;193,860666666666;7,33333333333333
"VitiEcobioSol-CIBC_BO_LuttIntegr_2002_BO_LuttIntegr_BL";98,6666666666665;120,663311111111;5
"VitiEcobioSol-CIBC_BO_LuttIntegr_2002_BO_LuttIntegr_O";150,222222222222;182,829822222222;6,33333333333333
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_BL";78;248,101966666667;5
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_BU";53,3333333333333;169,915933333333;5
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_F";40,3333333333333;19,5113333333333;7
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_J";25,3333333333333;91,2474666666667;4
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_JV";61,3333333333333;192,1302;5
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_M";64;215,405066666667;7
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_O";96;276,117866666667;7
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_R";92,6666666666667;283,3507;7
"VitiEcobioSol-CIBC_CH_Herb_1991_CH_Herb_V";65,6666666666667;185,686133333333;5
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_BL";14,3333333333333;19,3257;3
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_BU";18;21,4305333333333;3
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_J";10,6666666666667;17,0033333333333;3
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_JV";6;10,5432666666667;3
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_M";11;14,2977;4
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_O";10;15,1861;2
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_R";9,33333333333333;21,6159666666667;3
"VitiEcobioSol-CIBC_CH_Herb_1993_CH_Herb_V";11;15,5696333333333;3
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_BL";42,6666666666667;139,769666666667;4
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_BU";38,3333333333333;98,7333333333333;4
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_J";16;41,4078333333333;4
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_JV";28,3333333333333;78,7852;2
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_M";20,3333333333333;57,5634;3
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_O";27,3333333333333;66,7087;2
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_R";33,6666666666667;92,9235666666667;3
"VitiEcobioSol-CIBC_CH_Herb_1994_CH_Herb_V";20,3333333333333;44,1005;3
"VitiEcobioSol-CIBC_DI_Enherb_1999_DI_Enherb_E";83,6666666666665;87,0936666666667;4
"VitiEcobioSol-CIBC_DI_Enherb_1999_DI_Enherb_M";83,3333333333333;94,4653333333335;4,5
"VitiEcobioSol-CIBC_DI_Enherb_1999_DI_Enherb_T";48,8333333333333;78,4978333333335;4
"VitiEcobioSol-CIBC_ESS_Desherb_2002_ESS_Desherb_D";121;78,6006666666667;6
"VitiEcobioSol-CIBC_ESS_Desherb_2002_ESS_Desherb_T";104,333333333333;82,957;3
"VitiEcobioSol-CIBC_FL_TravSol_1990_FL_TravSol_0";11,25;1,9189;3
"VitiEcobioSol-CIBC_FL_TravSol_1993_FL_TravSol_BL";11,6666666666667;19,584;2
"VitiEcobioSol-CIBC_FL_TravSol_1993_FL_TravSol_R";14;24,4583333333333;1
"VitiEcobioSol-CIBC_FL_TravSol_1993_FL_TravSol_V";11;24,221;3
"VitiEcobioSol-CIBC_FL_TravSol_1996_FL_TravSol_BL";14,6666666666667;30,1943333333333;2
"VitiEcobioSol-CIBC_FL_TravSol_1996_FL_TravSol_R";5,33333333333333;10,3516666666667;2
"VitiEcobioSol-CIBC_FL_TravSol_1996_FL_TravSol_V";14,3333333333333;19,793;2
"VitiEcobioSol-CIBC_FL_TravSol_1999_FL_TravSol_BL";38,3333333333333;89,3076666666667;3
"VitiEcobioSol-CIBC_FL_TravSol_1999_FL_TravSol_R";37,6666666666667;90,1366666666667;2
"VitiEcobioSol-CIBC_FL_TravSol_1999_FL_TravSol_V";85,6666666666667;134,921666666667;3
"VitiEcobioSol-CIBC_FL_TravSol_2002_FL_TravSol_BL";66,6666666666667;113,641666666667;3
"VitiEcobioSol-CIBC_FL_TravSol_2002_FL_TravSol_R";108,333333333333;173,939666666667;5
"VitiEcobioSol-CIBC_FL_TravSol_2002_FL_TravSol_V";192,333333333333;284,416;4
"VitiEcobioSol-CIBC_GY_Biodyn_2001_GY_Biodyn_B";89,3333333333335;41,15534;8,2
"VitiEcobioSol-CIBC_GY_Biodyn_2001_GY_Biodyn_R";81,8666666666667;40,7657533333333;6,6
"VitiEcobioSol-CIBC_GY_Biodyn_2005_GY_Biodyn_B";93,5999999999999;31,4483266666667;4
"VitiEcobioSol-CIBC_GY_Biodyn_2005_GY_Biodyn_Conv";27,3333333333333;4,58383333333333;4
"VitiEcobioSol-CIBC_GY_Biodyn_2005_GY_Biodyn_R";228,266666666667;84,3355;3,6
"VitiEcobioSol-CIBC_GY_Biodyn_2010_GY_Biodyn_B";29,1333333333333;28,1468066666667;3,8
"VitiEcobioSol-CIBC_GY_Biodyn_2010_GY_Biodyn_R";59,6666666666667;61,8234333333333;3,6
"VitiEcobioSol-CIBC_GY_Biodyn_2011_GY_Biodyn_B";32,7333333333333;33,5811866666667;4
"VitiEcobioSol-CIBC_GY_Biodyn_2011_GY_Biodyn_R";73,7333333333334;69,03098;4,8
"VitiEcobioSol-CIBC_HT_Enherb_1999_HT_Enherb_E";60,3333333333333;86,6605000000002;3,5
"VitiEcobioSol-CIBC_HT_Enherb_1999_HT_Enherb_M";68;123,465;3,5
"VitiEcobioSol-CIBC_HT_Enherb_1999_HT_Enherb_T";48,6666666666667;64,7221666666667;4,5
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_BL";22,5;5,885;4
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_BU";4,25;0,9505;2,5
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_G";15,5;14,1645;3
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_J";25,75;32,6905;4,5
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_JV";11;3,715;2
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_M";10,25;4,05175;3
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_O";6;1,2065;3
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_R";7;1,592;2
"VitiEcobioSol-CIBC_MB_Ferti_1991_MB_Ferti_T";27,5;14,236;5
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_BL";65;71,5826666666667;7
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_BU";125,333333333333;151,8582;6
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_G";165;151,512333333333;10
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_J";131;108,306266666667;9
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_JV";142,666666666667;110,081333333333;9
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_M";84,3333333333333;113,609966666667;7
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_O";157;125,072633333333;7
"VitiEcobioSol-CIBC_MB_Ferti_1994_MB_Ferti_R";76;94,6120333333333;7
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_BL";8,33333333333333;15,147;2
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_BU";82;69,848;7
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_G";84,6666666666667;67,7106666666667;8
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_J";105,666666666667;70,6147666666667;8
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_JV";54,6666666666667;47,7716666666667;8
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_M";8,33333333333333;19,1143333333333;1
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_O";5,33333333333333;8,91366666666667;1
"VitiEcobioSol-CIBC_MB_Ferti_1997_MB_Ferti_R";12,6666666666667;30,8926666666667;4
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_BL";123,333333333333;159,199333333333;7
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_BU";150,333333333333;156,455333333333;5
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_G";144;158,530333333333;6
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_J";222,666666666667;153,068666666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_JV";89,6666666666667;99,9226666666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_M";139,666666666667;231,271333333333;5
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_O";210,666666666667;154,962666666667;7
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_R";119,666666666667;129,177;6
"VitiEcobioSol-CIBC_MB_Ferti_2000_MB_Ferti_T";92,6666666666667;78,2196666666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_BL";65;101,593533333333;5
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_BU";113;139,432433333333;7
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_G";63,3333333333333;107,6945;6
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_J";67,3333333333333;76,2306666666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_JV";100,666666666667;94,6636666666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_M";81,6666666666667;105,957766666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_O";119,666666666667;95,7283333333333;6
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_R";68,3333333333333;111,541333333333;6
"VitiEcobioSol-CIBC_MB_Ferti_2004_MB_Ferti_T";67;71,0496666666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_BL";82,8333333333333;71,9274666666666;6
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_BU";134,5;134,546816666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_G";107,166666666667;137,576516666666;5
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_J";114,333333333333;112,2736;5,5
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_JV";127,666666666667;109,8647;5,5
