"variables";"r_squared";"aic"
"bio4.inter.bio12";0,0224654104235484;19194,0900967611
"silt.inter.bio4";0,0222243581670897;19194,4979097288
"P.inter.gdd10";0,0220655953159224;19194,7664503102
"sand.inter.bio4";0,0219840708077923;19194,9043285929
"gdd10.inter.silt";0,0219435502574179;19194,9728546771
"gps_y.inter.bio3";0,0218614797681972;19195,1116389918
"N.inter.K";0,0212233287073945;19196,190379549
"bio4.inter.gdd0";0,0209232136058859;19196,6974556837
"bio3.inter.gdd0";0,0206961520935399;19197,0809967957
"bio3.inter.K";0,0205977416455772;19197,24719925
"gps_y.inter.N";0,0205522428526518;19197,3240351516
"gps_y.inter.silt";0,0205303508191488;19197,3610039623
"N.inter.gdd0";0,0205038754593826;19197,4057114765
"bio4.inter.clay";0,0204259590774839;19197,5372776634
"gps_y.inter.bio7";0,0202764739032695;19197,78966248
"sand.inter.gps_y";0,0202458497637851;19197,8413623053
"sand.inter.gdd0";0,0202345721224958;19197,8604008685
"CN.inter.bio7";0,0198157497174476;19198,5672886792
"gdd10.inter.bio7";0,0182325800619491;19201,2366339218
"silt.inter.clay";0,0178535974877165;19201,8749890048
"K.inter.bio7";0,0175984469090906;19202,3046237797
"bio12.inter.bio7";0,0167691939212607;19203,7001894529
"sand.inter.bio7";0,0162712507647547;19204,5376220236
"silt.inter.bio7";0,0159953327814689;19205,0014738274
"bio7.inter.gdd0";0,0158909488546561;19205,1769220381
"CN.inter.gdd10";0,015600764121535;19205,6645659614
"clay.inter.bio7";0,0155270936313543;19205,7883434157
"silt.inter.gdd0";0,0154653039235214;19205,8921522346
"gdd10.inter.clay";0,0153447237962525;19206,0947122045
"gps_y.inter.CN";0,0139946491359839;19208,3609815019
"gps_y.inter.gdd0";0,0136152053979876;19208,9973667038
"P.inter.K";0,0129083503912465;19210,1822181719
"sand.inter.clay";0,0122371171355216;19211,3065742492
"P.inter.CN";0,0107209065232416;19213,843508593
"gdd10.inter.bio12";0,0105741932988419;19214,0887838471
"gdd10.inter.K";0,00978262080931702;19215,4115080398
"sand.inter.CN";0,00961393877074401;19215,693240452
"P.inter.silt";0,00948588209425949;19215,9070884242
"P.inter.gdd0";0,00780646567369037;19218,7090702704
"P.inter.clay";0,00775293073883498;19218,7983113211
"CN.inter.clay";0,00698101384526972;19220,0845375202
"clay.inter.gdd0";0,00610452923244398;19221,5437907241
"CN.inter.gdd0";0,00593058418694992;19221,8332375931
"P.inter.sand";0,00582946797582229;19222,0014730352
"CN.inter.silt";0,00577184903846262;19222,0973307958
"gps_y.inter.bio12";0,00570863782088815;19222,2024857648
"P.inter.gps_y";0,00510710125978597;19223,2028370364
"P.inter.bio12";0,00427548192137672;19224,5848187814
"clay.inter.K";0,00407552926796295;19224,9169271918
"gps_y.inter.clay";0,00385796003397043;19225,278219862
"K.inter.bio12";0,00310947863211475;19226,5205360398
"K.inter.gdd0";0,00263930908098364;19227,3004382379
"sand.inter.K";0,00233640045128758;19227,8026986662
"clay.inter.bio12";0,00213333604544752;19228,1393194979
"sand.inter.bio12";0,00104082785475446;19229,9492006553
"gps_y.inter.K";0,000983372332149179;19230,0443283685
"bio12.inter.gdd0";0,000378734053136376;19230,0474740654
"silt.inter.bio12";-0,000230642655989044;19232,0530654237
"silt.inter.K";-0,000484909593752025;19232,4734725294
"CN.inter.K";-0,000730692316979864;19232,8797502197
"CN.inter.bio12";-0,00137934457267197;19233,9514903825
