"";"R_GLM";"R_GAM";"R_RF";"R_GBM";"R_ANN";"R_BestMod"
"1";0,311022645430374;0,34973116809368;0,349256926559437;0,349666696491842;0;0
"2";0,311619145389988;0,340502864080409;0,367871705619918;0,36723927211215;0;0
"3";0,340425267607614;0,346088666304212;0,360689856299531;0,356395965431473;0;0
"4";0,338841223445204;0,380561434349346;0,384785677825261;0,366512075098841;0;0
"5";0,296391846997527;0,336360741052047;0,363899225214188;0,417170077706565;0;0
"6";0,255218201776893;0,282304797202133;0,36988413553368;0,3493861328715;0;0
"7";0,306756879539864;0,33157010334;0,358976005463802;0,366228809309678;0;0
"8";0,320947128196273;0,336698127900283;0,346217604458091;0,309487664224538;0;0
"9";0,303318470973706;0,348415512700107;0,395578625294488;0,35106347267143;0;0
"10";0,295064378874549;0,323233257744691;0,401423182440725;0,40003632487373;0;0
"11";0,267664185943978;0,289728968010291;0,350326345790239;0,357132838657139;0;0
"12";0,305979285348724;0,323354893584104;0,33173459625662;0,364462517473697;0;0
"13";0,317766660027778;0,346560114113613;0,344174929325535;0,400924542010798;0;0
"14";0,240396757437158;0,250543201693451;0,345155056652976;0,389105593949842;0;0
"15";0,353167443231465;0,378361274351413;0,356284979144228;0,397241075095901;0;0
"16";0,320338627260602;0,339974952503663;0,34110805155058;0,312040837419451;0;0
"17";0,28667327468651;0,300693157733356;0,381693448802172;0,331883431443837;0;0
"18";0,362133296524443;0,363806918202855;0,368600742616416;0,379483960413364;0;0
"19";0,316222268111693;0,355873636125099;0,356420886102618;0,36131386821884;0;0
"20";0,289620118128408;0,311493524751223;0,313553125870282;0,369997143409047;0;0
"21";0,298049230657474;0,316247637890275;0,368062519836109;0,371146601594856;0;0
"22";0,334959058912086;0,356989216674017;0,375427353494654;0,398802654464284;0;0
"23";0,275341870010023;0,326424687418702;0,345603427165838;0,362873734433499;0;0
"24";0,31006003454433;0,330273701712602;0,369555533261227;0,363409784554261;0;0
"25";0,308503449215416;0,341966310114051;0,344560081446698;0,327717496932513;0;0
"26";0,309601809106873;0,335846517776953;0,382968520233989;0,362694812300388;0;0
"27";0,300504786671637;0,313437110685482;0,350741428005632;0,359787798217369;0;0
"28";0,327392350322598;0,353920441857072;0,361111844861429;0,403554590506597;0;0
"29";0,290579564357429;0,312730105681389;0,355330882172314;0,428715494491684;0;0
"30";0,287537625650578;0,292764034485559;0,401841831301753;0,370724694737555;0;0
