"variables";"r_squared";"aic"
"hurs_mean.inter.bio10";0,142262883698259;15454,046901651
"gps_y.inter.hurs_mean";0,141516189196574;15456,8905889018
"gdd10.inter.bio5";0,141352229648218;15457,5146759689
"bio13.inter.bio10";0,13988092347525;15463,1096521071
"bio18.inter.PET";0,139857595210718;15463,1982860379
"bio18.inter.CEC";0,139237969909778;15465,5516248171
"hurs_mean.inter.bio13";0,139236682958222;15465,5565108999
"bio10.inter.bio5";0,139025554737059;15466,35798839
"bio16.inter.bio5";0,137925663121706;15470,5301816842
"bio5.inter.PET";0,136619741590541;15475,4769967327
"bio13.inter.bio5";0,136326920078745;15476,5851740987
"bio10.inter.PET";0,135899883095926;15478,2006140081
"bio18.inter.bio15";0,13555334255405;15479,5109569191
"elevation.inter.P";0,133295094210051;15488,0370269998
"hurs_mean.inter.PET";0,132707448448442;15489,2532920567
"CaCO3.inter.bio16";0,130058962750717;15500,2164696692
"CEC.inter.P";0,12982798572015;15501,0840373708
"CaCO3.inter.gps_y";0,12799124540708;15507,9747913893
"gps_y.inter.elevation";0,127852183056097;15508,4959094717
"elevation.inter.PET";0,12759939918547;15509,4429714008
"CaCO3.inter.bio13";0,126668108798699;15512,9297109633
"P.inter.gdd10";0,126384291159782;15513,9915814534
"elevation.inter.bio16";0,125557040364294;15517,0846764968
"CEC.inter.bio16";0,125227488459223;15518,3160578289
"CEC.inter.bio13";0,125164991516332;15518,5495273437
"elevation.inter.bio18";0,124887211628726;15519,5870264988
"elevation.inter.bio13";0,124662989059064;15520,4242505791
"P.inter.N";0,124122364035451;15522,4420073817
"bio15.inter.PET";0,123803507081968;15523,6314827792
"N.inter.bio15";0,119058667333822;15541,2808370419
"gps_y.inter.N";0,116925265013836;15549,1854840672
"hurs_mean.inter.gdd10";0,114619784700766;15556,7113171126
"elevation.inter.bio15";0,114485021093659;15558,2036550191
"bio18.inter.P";0,113668634700868;15561,2151474424
"CaCO3.inter.PET";0,110262171853564;15573,7510714669
"N.inter.gdd10";0,10835158920724;15580,7611025829
"bio16.inter.gdd10";0,107974737152618;15582,1420194524
"bio13.inter.gdd10";0,101330387685298;15606,3938716363
"CaCO3.inter.P";0,100077873206096;15610,9454526213
"gps_y.inter.gdd10";0,0979596862954797;15618,6284518411
