"";"R_GLM";"R_GAM";"R_RF";"R_GBM";"R_ANN";"R_BestMod"
"1";0,206232732215988;0,215084284195815;0,340961009796372;0,341899519135585;0;0
"2";0,237773002205997;0,26807990457234;0,281466510481955;0,183671526584178;0;0
"3";0,252258643812132;0,199644561528855;0,381917260341757;0,274781900929118;0;0
"4";0,155064682392181;0,192147478593612;0,299381903674785;0,274159309115085;0;0
"5";0,164183304187239;0,193186942300374;0,333807043127656;0,293262156433535;0;0
"6";0,173321901028739;0,197327238978406;0,291010378626539;0,299321436088487;0;0
"7";0,206342669461424;0,231423764567877;0,276107440814253;0,355218041445579;0;0
"8";0,235297944515463;0,229881858478075;0,304138670229375;0,290630388363012;0;0
"9";0,212720857987551;0,239140582916726;0,299440058134853;0,251149210762739;0;0
"10";0,162731815871544;0,190863042940102;0,267616709923932;0,360381387613975;0;0
"11";0,200413832656497;0,242794216248525;0,290061349390246;0,304025714539277;0;0
"12";0,206733826574969;0,241314138323361;0,262940404600842;0,291647930705191;0;0
"13";0,218705612387964;0,246981562561188;0,306595025425327;0,289369560162337;0;0
"14";0,0994431482718831;0,127204388786428;0,324034390584631;0,255099617334396;0;0
"15";0,25581852611613;0,259580008040487;0,289085619439752;0,238494870779789;0;0
"16";0,176784492100186;0,185849519041705;0,228053217823833;0,302392261670129;0;0
"17";0,165101890722654;0,177472486236907;0,417727146539022;0,315490499671412;0;0
"18";0,245933592993608;0,245628021124759;0,272762266045712;0,279113101259239;0;0
"19";0,190977684748796;0,21168955256913;0,321550676830909;0,328106853593152;0;0
"20";0,15666880212884;0,189038164515566;0,286057611772359;0,199301116552666;0;0
"21";0,2276420343856;0,245768037286746;0,296464197556339;0,281928184940032;0;0
"22";0,214260531501557;0,250314381586471;0,186734754107845;0,321440230854628;0;0
"23";0,197070418381378;0,214505715372291;0,296579948137045;0,303169290479457;0;0
"24";0,18837660851097;0,194774170894513;0,207123469865604;0,268235975338787;0;0
"25";0,192627023920025;0,182497259080753;0,28460972023663;0,336298899004398;0;0
"26";0,190168645717157;0,222147237122683;0,341838373054931;0,291918731414203;0;0
"27";0,0510858714492176;0,0392339858813544;0,302725124222235;0,279381253481084;0;0
"28";0,184458633212764;0,235284453312134;0,265689317493703;0,27132008000982;0;0
"29";0,228939227684216;0,235694509388031;0,263993502311159;0,312040155375713;0;0
"30";0,166469971204427;0,192759065545952;0,364670220912268;0,347904575139923;0;0
