ID,Programme,Annee,ID_Site,Protocole,AB_tot,BM_tot,Richesse_tot,CaCO3,gps_x,N,bio3,gps_y,clay,silt,clcm_lvl3,P,bio12
AgrHys_144_2018.03_NA_NA,AgrHys,2018,"144",HS_M_16,21.3333333333333,"5,53813333333333",2,"19,6753768920898",-2.8326288467,"2,63322782516479",0.36800000667572,48.0239272954,"17,7","66,9",nial,"58,5335845947266",935.4
AgrHys_145_2018.03_NA_NA,AgrHys,2018,"145",HS_M_16,128,"45,696",4,"19,1039657592773",-2.8287417458,"2,62603759765625",0.36800000667572,48.0236159141,"17,3","67,3",nial,"57,7100677490234",935.4
AgrHys_147_2018.03_NA_NA,AgrHys,2018,"147",HS_M_16,138.666666666667,"39,0490666666667",4,"18,6375427246094",-2.838777754,"2,62004542350769",0.369000005722046,48.0255919765,"17,9","66,1",nial,"59,9547538757324",935.8
AgrHys_153_2018.03_NA_NA,AgrHys,2018,"153",HS_M_16,213.333333333333,"181,085866666667",9,"18,656909942627",-2.8204969401,"2,96823000907898",0.370000004768372,48.0036642512,"17","64,6",p,"53,8144721984863",928
AgrHys_154_2018.03_NA_NA,AgrHys,2018,"154",HS_M_16,48,"14,0944",1,"30,8125438690186",-2.8427763282,"2,57109260559082",0.369000005722046,48.0096092826,"19,1","63,2",nial,"56,6787757873535",925.6
AgrHys_155_2018.03_NA_NA,AgrHys,2018,"155",HS_M_16,90.6666666666667,"28,3216",3,"35,119815826416",-2.8276466111,"2,45643258094788",0.36800000667572,48.0148753009,"18,1","63,8",nial,"55,404842376709",931.9
AgrHys_156_2018.03_NA_NA,AgrHys,2018,"156",HS_M_16,501.333333333333,"103,853333333333",6,"27,8186149597168",-2.8383762379,"2,67206048965454",0.36800000667572,48.0209876299,"18,5","64,5",p,"57,4967231750488",933.2
AgrHys_159_2018.03_NA_NA,AgrHys,2018,"159",HS_M_16,389.333333333333,"132,249066666667",8,"16,0799083709717",-2.8172547624,"2,52022814750671",0.370000004768372,48.008178072,"16,9","66,8",p,"57,599250793457",928
AgrHys_160_2018.03_NA_NA,AgrHys,2018,"160",HS_M_16,581.333333333333,"138,8688",5,"19,1863174438477",-2.8458831893,"2,75298833847046",0.367000007629395,48.0207151787,"18,4","65,5",p,"59,8461723327637",930
AgrHys_162_2018.03_NA_NA,AgrHys,2018,"162",HS_M_16,101.333333333333,"72,2346666666667",3,"14,7177667617798",-2.8476467195,"2,79120397567749",0.367000007629395,48.0219616592,"17,7","66,3",nial,"61,2400436401367",930
AgrHys_163_2018.03_NA_NA,AgrHys,2018,"163",HS_M_16,629.333333333333,"202,1712",7,"27,8186149597168",-2.8381282616,"2,67206048965454",0.36800000667572,48.0208419103,"18,5","64,5",p,"57,4967231750488",933.2
AgrHys_167_2018.03_NA_NA,AgrHys,2018,"167",HS_M_16,154.666666666667,"33,9557333333333",4,"27,8186149597168",-2.8310933309,"2,67206048965454",0.36800000667572,48.0221886921,"18,5","64,5",nial,"57,4967231750488",935.4
AgrHys_170_2018.03_NA_NA,AgrHys,2018,"170",HS_M_16,48,"121,2464",2,"19,6753768920898",-2.8385296962,"2,63322782516479",0.36800000667572,48.0240605806,"17,9","66,1",nial,"58,5335845947266",933.2
AgrHys_171_2018.03_NA_NA,AgrHys,2018,"171",HS_M_16,341.333333333333,"68,3408",5,"30,8125438690186",-2.8390984091,"2,57109260559082",0.36800000667572,48.0059374128,"18,5","61,5",nial,"56,6787757873535",922.7
AgrHys_172_2018.03_NA_NA,AgrHys,2018,"172",HS_M_16,74.6666666666667,"45,9968",4,"16,0799083709717",-2.8173402024,"2,52022814750671",0.367000007629395,48.012768649,"16,9","66,8",nial,"57,599250793457",933.5
AgrHys_174_2018.03_NA_NA,AgrHys,2018,"174",HS_M_16,186.666666666667,"106,8768",3,"16,0799083709717",-2.81485785,"2,52022814750671",0.36800000667572,48.0082757949,"16,9","66,8",p,"57,599250793457",934.2
AgrHys_176_2018.03_NA_NA,AgrHys,2018,"176",HS_M_16,128,"26,6896",4,"14,7177667617798",-2.8537201915,"2,79120397567749",0.369000005722046,48.0148358669,"18,6","63,6",nial,"61,2400436401367",922.1
AgrHys_177_2018.03_NA_NA,AgrHys,2018,"177",HS_M_16,186.666666666667,"43,7568",4,"35,119815826416",-2.8263348584,"2,45643258094788",0.36800000667572,48.0169881398,"17,9","64,5",nial,"55,404842376709",935.4
AgrHys_183_2018.03_NA_NA,AgrHys,2018,"183",HS_M_16,346.666666666667,"71,1242666666667",5,"14,7177667617798",-2.8488042996,"2,79120397567749",0.369000005722046,48.0163828608,"17,7","66,3",nial,"61,2400436401367",925.6
AgrHys_184_2018.03_NA_NA,AgrHys,2018,"184",HS_M_16,58.6666666666667,"100,3232",3,"19,1863174438477",-2.8434686299,"2,75298833847046",0.367000007629395,48.0216954043,"18,4","65,5",p,"59,8461723327637",930
AgrHys_186_2018.03_NA_NA,AgrHys,2018,"186",HS_M_16,256,"92,4533333333333",7,"19,1863174438477",-2.8444720317,"2,75298833847046",0.367000007629395,48.0170978186,"18,4","65,5",nial,"59,8461723327637",930
AgrHys_192_2018.03_NA_NA,AgrHys,2018,"192",HS_M_16,453.333333333333,"103,913066666667",5,"40,7883415222168",-2.8310080624,"2,65041661262512",0.36800000667572,48.0044806654,"18,4","63,1",p,"50,913215637207",926.1
AgrHys_196_2018.03_NA_NA,AgrHys,2018,"196",HS_M_16,32,"14,952",2,"19,6753768920898",-2.8340124484,"2,63322782516479",0.36800000667572,48.0223709275,"18,5","64,5",nial,"58,5335845947266",933.2
AgrHys_197_2018.03_NA_NA,AgrHys,2018,"197",HS_M_16,149.333333333333,"27,3093333333333",4,"14,7177667617798",-2.8531214849,"2,79120397567749",0.369000005722046,48.0148327944,"18,6","63,6",nial,"61,2400436401367",922.1
AgrHys_204_2018.03_NA_NA,AgrHys,2018,"204",HS_M_16,266.666666666667,"92,5818666666667",5,"35,119815826416",-2.8294065992,"2,45643258094788",0.36800000667572,48.0148121377,"18,1","63,8",nial,"55,404842376709",931.9
AgrHys_28_2018.03_NA_NA,AgrHys,2018,"28",HS_M_16,176,"64,9024",7,"44,3518676757812",-2.8192101549,"2,61999464035034",0.36800000667572,47.990155111,"17,4","61,7",p,"52,0985450744629",912
AgrHys_54_2018.03_NA_NA,AgrHys,2018,"54",HS_M_16,592,"154,370133333333",6,"40,7883415222168",-2.835780329,"2,65041661262512",0.36800000667572,47.9984348329,"17,5","60,3",p,"50,913215637207",915.1
AgrHys_55_2018.03_NA_NA,AgrHys,2018,"55",HS_M_16,136,"63,1344",4,"40,7883415222168",-2.8318867816,"2,65041661262512",0.36800000667572,47.9986282531,"18,4","63,1",nial,"50,913215637207",918.3
AgrHys_59_2018.03_NA_NA,AgrHys,2018,"59",HS_M_16,128,"112,033066666667",6,"18,656909942627",-2.8163123077,"2,96823000907898",0.36800000667572,47.9994006451,"17","64,6",p,"53,8144721984863",921.5
AgrHys_62_2018.03_NA_NA,AgrHys,2018,"62",HS_M_16,432,"72,1610666666667",4,"40,7883415222168",-2.8340831443,"2,65041661262512",0.36800000667572,48.0007946792,"18,4","63,1",nial,"50,913215637207",922.7
AgrHys_64_2018.03_NA_NA,AgrHys,2018,"64",HS_M_16,106.666666666667,"50,7232",5,"38,7139587402344",-2.8224018779,"2,6889979839325",0.370000004768372,48.0013743838,"18","63,3",p,"50,6742477416992",928
AgrHys_65_2018.03_NA_NA,AgrHys,2018,"65",HS_M_16,170.666666666667,"84,4538666666667",6,"18,656909942627",-2.8185080657,"2,96823000907898",0.370000004768372,48.0015673609,"17","64,6",p,"53,8144721984863",928
AgrHys_66_2018.03_NA_NA,AgrHys,2018,"66",HS_M_16,58.6666666666667,"46,9061333333333",2,"18,656909942627",-2.8146142251,"2,96823000907898",0.36800000667572,48.0017602091,"17","64,6",p,"53,8144721984863",928.6
AgrHys_67_2018.03_NA_NA,AgrHys,2018,"67",HS_M_16,128,"29,2218666666667",5,"40,7883415222168",-2.8362796865,"2,65041661262512",0.36800000667572,48.0029610613,"18,4","63,1",nial,"50,913215637207",922.7
AgrHys_68_2018.03_NA_NA,AgrHys,2018,"68",HS_M_16,421.333333333333,"99,0069333333333",4,"40,7883415222168",-2.8323858083,"2,65041661262512",0.36800000667572,48.0031544975,"18,4","63,1",nial,"50,913215637207",926.1
AgrHys_70_2018.03_NA_NA,AgrHys,2018,"70",HS_M_16,80,"36,0224",3,"38,7139587402344",-2.8245979666,"2,6889979839325",0.370000004768372,48.0035409831,"18","63,3",nial,"50,6742477416992",928
AgrHys_71_2018.03_NA_NA,AgrHys,2018,"71",HS_M_16,234.666666666667,"137,113066666667",6,"18,656909942627",-2.8168100114,"2,96823000907898",0.370000004768372,48.0039269533,"17","64,6",p,"53,8144721984863",928
AgrHys_72_2018.03_NA_NA,AgrHys,2018,"72",HS_M_16,410.666666666667,"84,6592",6,"40,7883415222168",-2.8384764084,"2,65041661262512",0.36800000667572,48.0051273994,"18,4","63,1",nial,"50,913215637207",922.7
AgrHys_73_2018.03_NA_NA,AgrHys,2018,"73",HS_M_16,432,"83,1728",8,"40,7883415222168",-2.834582379,"2,65041661262512",0.36800000667572,48.005320908,"18,4","63,1",nial,"50,913215637207",922.7
AgrHys_75_2018.03_NA_NA,AgrHys,2018,"75",HS_M_16,464,"71,9213333333333",6,"15,8576784133911",-2.8267942349,"2,55359959602356",0.36800000667572,48.0057075386,"18","63,3",p,"54,8640518188477",926.1
AgrHys_76_2018.03_NA_NA,AgrHys,2018,"76",HS_M_16,213.333333333333,"131,558933333333",5,"15,8576784133911",-2.8229001203,"2,55359959602356",0.370000004768372,48.0059006605,"18","63,3",p,"54,8640518188477",928
AgrHys_77_2018.03_NA_NA,AgrHys,2018,"77",HS_M_16,202.666666666667,"125,098133333333",7,"16,0799083709717",-2.8190059773,"2,52022814750671",0.370000004768372,48.0060936535,"17","64,6",p,"57,599250793457",928
AgrHys_78_2018.03_NA_NA,AgrHys,2018,"78",HS_M_16,112,"45,9776",3,"30,8125438690186",-2.8406733099,"2,57109260559082",0.36800000667572,48.0072936935,"19,1","63,2",nial,"56,6787757873535",922.7
AgrHys_79_2018.03_NA_NA,AgrHys,2018,"79",HS_M_16,138.666666666667,"52,5322666666667",5,"28,2347602844238",-2.8367791293,"2,56460857391357",0.36800000667572,48.0074872745,"18,9","63,7",nial,"53,4022674560547",922.7
AgrHys_80_2018.03_NA_NA,AgrHys,2018,"80",HS_M_16,186.666666666667,"40,8624",7,"28,2347602844238",-2.8331285099,"2,56460857391357",0.36800000667572,48.0076686297,"18,9","63,7",nial,"53,4022674560547",926.1
AgrHys_81_2018.03_NA_NA,AgrHys,2018,"81",HS_M_16,112,"26,6357333333333",4,"15,8576784133911",-2.8289906828,"2,55359959602356",0.36800000667572,48.0078740499,"18,1","63,8",nial,"54,8640518188477",926.1
AgrHys_82_2018.03_NA_NA,AgrHys,2018,"82",HS_M_16,336,"57,9061333333333",5,"15,8576784133911",-2.825096417,"2,55359959602356",0.370000004768372,48.0080672442,"18,1","63,8",p,"54,8640518188477",928
AgrHys_83_2018.03_NA_NA,AgrHys,2018,"83",HS_M_16,250.666666666667,"73,0628266666667",5,"16,0799083709717",-2.8212021228,"2,52022814750671",0.367000007629395,48.0082603097,"16,9","66,8",p,"57,599250793457",933.5
