ID,Programme,Annee,ID_Site,Protocole,AB_tot,BM_tot,Richesse_tot,CaCO3,gps_x,N,bio3,gps_y,clay,silt,clcm_lvl3,P,bio12
OPVT_IDF_TSI_P5_2019_NA_NA,OPVT_IDF,2019,TSI_P5,HS,75,"13,6708333333333",3,"39,5518226623535",2.28906,"1,6749439239502",0.340000009536743,48.921702,"12,2","35,3",gua,"25,6004962921143",649
SBT-ENI-TB_103_2019_NA_NA,SBT-ENI-TB,2019,"103",HS,41.6666666666667,NA,4,"52,5650978088379",2.76096365674,"1,40527355670929",0.333999991416931,48.5229171605,"23,9","49,3",nial,"45,5878829956055",695.8
SBT-ENI-TB_108_2021_NA_NA,SBT-ENI-TB,2021,"108",HS,195.833333333333,NA,3,"91,2464828491211",3.98623208878,"1,53398144245148",0.329999995231628,49.0667190419,"36","31,7",v,"53,5972862243652",701.8
SBT-ENI-TB_144_2019_NA_NA,SBT-ENI-TB,2019,"144",HS,54.1666666666667,NA,4,"32,492073059082",1.83399242587,"1,94980442523956",0.344000005722046,48.8473543014,"21,6","59,5",nial,"38,548267364502",676.9
SBT-ENI-TB_190_2019_NA_NA,SBT-ENI-TB,2019,"190",HS,37.5,NA,4,"81,6737594604492",2.56388100568,"1,4456844329834",0.339000010490418,48.2833971986,"22,8","64,6",nial,"54,7453651428223",730.1
SBT-ENI-TB_218_2019_NA_NA,SBT-ENI-TB,2019,"218",HS,79.1666666666667,NA,3,"67,4180221557617",2.63454956175,"1,62158191204071",0.335999989509583,48.6722213323,"23,7","60,4",nial,"50,5914039611816",703
SBT-ENI-TB_23_2019_NA_NA,SBT-ENI-TB,2019,"23",HS,125,NA,4,"35,8557014465332",2.61947897185,"1,69731163978577",0.336999988555908,48.2471769262,"26,6","57,7",nial,"48,1617851257324",727.3
SBT-ENI-TB_30_2019_NA_NA,SBT-ENI-TB,2019,"30",HS,8.33333333333333,NA,1,"41,8394165039062",3.00978482549,"1,55730605125427",0.332999992370606,48.7246217689,"15,7","47,1",nial,"47,0939750671387",731.3
SBT-ENI-TB_31_2019_NA_NA,SBT-ENI-TB,2019,"31",HS,54.1666666666667,NA,4,"177,145370483398",3.13710561796,"1,63788938522339",0.33199999332428,48.6902036834,"25,1","58,5",nial,"47,4645614624023",728.3
SBT-ENI-TB_37_2021_NA_NA,SBT-ENI-TB,2021,"37",HS,166.666666666667,NA,3,"190,498931884766",4.3790262507,"1,74929881095886",0.324000000953674,49.5340408648,"36,3","39,5",nial,"51,4270439147949",840.2
SBT-ENI-TB_40_2019_NA_NA,SBT-ENI-TB,2019,"40",HS,50,NA,4,"51,1795883178711",3.06771515204,"1,58795082569122",0.33199999332428,48.7373431004,"21","52,7",nial,"43,6654281616211",735.5
SBT-ENI-TB_459_2019_NA_NA,SBT-ENI-TB,2019,"459",HS,233.333333333333,NA,2,"77,8672714233398",1.75876413484,"1,96182191371918",0.345000004768372,49.017107904,"17,4","28,6",nial,"41,4296760559082",744
SBT-ENI-TB_468_2019_NA_NA,SBT-ENI-TB,2019,"468",HS,100,NA,3,"140,231903076172",1.62112115249,"2,00567173957825",0.347000002861023,48.9684116929,"25,5","54",nial,"49,4990043640137",711.8
SBT-ENI-TB_5_2019_NA_NA,SBT-ENI-TB,2019,"5",HS,0,NA,0,NA,2.92072883774,NA,0.332999992370606,48.9720367661,"11,3","21,4",nial,NA,712.9
SBT-ENI-TB_504_2019_NA_NA,SBT-ENI-TB,2019,"504",HS,12.5,NA,2,"67,7757263183594",1.80477908889,"1,71963596343994",0.346000003814697,49.129049823,"26,2","53,4",nial,"47,6666450500488",754
