"BM_tot";"CaCO3";"gps_x";"P";"CEC";"sand";"gps_y";"CN";"hurs_mean";"pH";"N";"gdd10";"silt";"bio4";"clay";"bio3";"K";"bio12";"bio7";"gdd0";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
45,234;124,224754333496;3,0316;57,7748794555664;15,6987218856812;8,9;49,872;9,43981456756592;636,7;7,3;1,63574123382568;963,1;68;5,259;23,1;0,341000008583069;221,182098388672;738,7;21,6;3854,2;0;0;0;1;0;0
52,1824;124,224754333496;3,0316;57,7748794555664;15,6987218856812;8,9;49,872;9,43981456756592;636,7;7,3;1,63574123382568;963,1;68;5,259;23,1;0,341000008583069;221,182098388672;738,7;21,6;3854,2;0;0;0;1;0;0
64,0957;124,224754333496;3,0316;57,7748794555664;15,6987218856812;8,9;49,872;9,43981456756592;636,7;7,3;1,63574123382568;963,1;68;5,259;23,1;0,341000008583069;221,182098388672;738,7;21,6;3854,2;0;0;0;1;0;0
82,8004;124,224754333496;3,0316;57,7748794555664;15,6987218856812;8,9;49,872;9,43981456756592;636,7;7,3;1,63574123382568;963,1;68;5,259;23,1;0,341000008583069;221,182098388672;738,7;21,6;3854,2;0;0;0;1;0;0
79,6285;124,224754333496;3,0316;57,7748794555664;15,6987218856812;8,9;49,872;9,43981456756592;636,7;7,3;1,63574123382568;963,1;68;5,259;23,1;0,341000008583069;221,182098388672;738,7;21,6;3854,2;0;0;0;1;0;0
53,4307;124,224754333496;3,0316;57,7748794555664;15,6987218856812;8,9;49,872;9,43981456756592;636,7;7,3;1,63574123382568;963,1;68;5,259;23,1;0,341000008583069;221,182098388672;738,7;21,6;3854,2;0;0;0;1;0;0
16,7143;124,224754333496;3,0316;57,7748794555664;15,6987218856812;8,9;49,872;9,43981456756592;636,7;7,3;1,63574123382568;963,1;68;5,259;23,1;0,341000008583069;221,182098388672;738,7;21,6;3854,2;0;0;0;1;0;0
30,6756666666667;3,25512504577637;-2,264101729;34,2577857971191;8,4649076461792;32,2;47,99662569;14,2575387954712;651,5;5,5;2,75663256645203;911,4;48,8;4,507;19;0,371000003814697;220,811996459961;923,7;19,8;3989,4;0;0;0;1;0;0
80,6223666666667;8,23000526428223;-2,262598182;35,7787857055664;8,73821640014648;29,1;47,997843369;13,5908765792847;651,5;5,5;2,65744662284851;911,4;52;4,507;18,9;0,371000003814697;224,898071289062;923,7;19,8;3989,4;0;0;0;0;1;0
324,548966666667;3,25512504577637;-2,265871816;34,2577857971191;8,4649076461792;32,2;47,996157709;14,2575387954712;651,5;5,5;2,75663256645203;911,4;48,8;4,507;19;0,371000003814697;220,811996459961;923,7;19,8;3989,4;0;0;0;0;1;0
127,9308;6,19852876663208;-2,121022754;31,2058544158936;14,7262544631958;24,2;48,078084807;14,3798179626465;643,1;5,6;2,25157284736633;976,3;55,2;4,563;20,6;0,370000004768372;236,48649597168;817,3;20;4096,1;0;0;0;1;0;0
67,0134666666667;6,19852876663208;-2,117642865;31,2058544158936;14,7262544631958;24,2;48,077728694;14,3798179626465;643,1;5,6;2,25157284736633;976,3;55,2;4,563;20,6;0,370000004768372;236,48649597168;817,3;20;4096,1;0;0;0;0;1;0
209,6568;6,19852876663208;-2,120075056;31,2058544158936;14,7262544631958;24,2;48,079182998;14,3798179626465;643,1;6,1;2,25157284736633;976,3;55,2;4,563;20,6;0,370000004768372;236,48649597168;817,3;20;4096,1;0;0;0;0;1;0
74,4806666666667;6,19852876663208;-2,115041312;31,2058544158936;14,7262544631958;24,2;48,079341204;14,3798179626465;642,5;6,1;2,25157284736633;995;55,2;4,592;20,6;0,369000005722046;236,48649597168;813,1;20,1;4120,4;0;0;0;0;1;0
46,4972333333333;20,3750095367432;-2,221818322;47,8973274230957;10,4888334274292;24,5;48,055764915;9,85548973083496;648,4;5,9;2,46296238899231;989,8;52,4;4,552;23,1;0,371000003814697;250,344848632812;892;19,9;4123,4;0;0;0;1;0;0
337,6945;30,2250747680664;-1,89817982948443;54,1494140625;9,61648082733154;39,2;48,6405725299262;11,4500198364258;639,1;6,7;1,60239255428314;984,2;45,5;3,957;15,3;0,276999998092651;227,132293701172;806,1;15,4;4277,6;0;1;0;0;0;0
97,2421666666667;36,4016647338867;-1,741628;39,9327049255371;10,2259454727173;48,2;48,545137;12,1067724227905;629,8;6,5;2,18942785263062;1044,7;36,4;4,299;15,4;0,332999992370606;231,4970703125;782;17,7;4290,3;0;1;0;0;0;0
222,585833333333;21,5013103485107;-1,729067;47,0699462890625;8,6074275970459;45,1;48,548278;10,7637825012207;630,1;6,1;2,1733090877533;1041,7;40;4,291;15;0,330999994277954;224,534072875977;784,4;17,8;4287,3;0;0;0;0;1;0
27,62;13,7856197357178;-3,39842;42,7107124328613;9,70858097076416;52,7;47,741948;13,0613927841187;635,5;6,3;2,45591759681702;1062,3;32,5;3,713;14,8;0,271000003814697;234,539260864258;943,9;14,4;4474,9;0;1;0;0;0;0
37,9922125;0,724964737892151;-3,39716;38,4101028442383;8,66284370422363;52;47,710013;12,2142753601074;633,2;6,2;3,01513385772705;1083,8;34;3,661;13,9;0,257999992370606;235,494064331055;914;13,9;4523,4;0;0;1;0;0;0
23,01;0,125543430447578;-3,39649;39,1090888977051;8,87498569488525;54,9;47,70899;12,473090171814;633,2;6,2;3,13195538520813;1083,8;32,1;3,661;13;0,257999992370606;255,832794189453;914;13,9;4523,4;1;0;0;0;0;0
109,883333333333;0,724964737892151;-3,39796;38,4101028442383;8,66284370422363;52;47,70705;12,2142753601074;632,1;6,2;3,01513385772705;1098,7;34;3,654;13,9;0,253999996185303;235,494064331055;902,3;13,8;4547,8;0;0;1;0;0;0
57,405;0,125543430447578;-3,39634;39,1090888977051;8,87498569488525;54,9;47,71005;12,473090171814;633,2;6,2;3,13195538520813;1083,8;32,1;3,661;13;0,257999992370606;255,832794189453;914;13,9;4523,4;0;0;1;0;0;0
40,091;5,55868148803711;-3,4307;43,9741058349609;9,62750720977783;52,4;47,70601;11,6976337432861;632,4;6,2;3,35681796073914;1100,7;33,8;3,633;13,8;0,253999996185303;179,796493530273;904;13,8;4556,9;0;0;1;0;0;0
173,795583333333;0,125543430447578;-3,39244;39,1090888977051;8,87498569488525;54,9;47,70742;12,473090171814;632,1;6,2;3,13195538520813;1098,7;32,1;3,654;13;0,253999996185303;255,832794189453;902,3;13,8;4547,8;0;0;1;0;0;0
79,0904166666667;5,2952036857605;-3,472506;43,5077667236328;11,5823497772217;40,2;48,745099;12,0702390670776;657,1;6,2;3,16959714889526;844,4;39,8;3,277;20,1;0,250999999046326;221,4267578125;1103,9;12,4;4227,5;0;1;0;0;0;0
90,9154166666667;5,2952036857605;-3,475394;43,5077667236328;11,5823497772217;40,2;48,741648;12,0702390670776;658,3;5,7;3,16959714889526;846,3;39,8;3,261;20,1;0,249000000953674;221,4267578125;1125,2;12,3;4233,5;0;1;0;0;0;0
127,34125;1,27949917316437;-3,451346;42,584716796875;12,4937944412231;43,4;48,735456;13,0666313171387;652,4;6;2,25978374481201;881,7;37,5;3,307;19,1;0,259999990463257;319,388763427734;1039,9;12,7;4282,2;0;1;0;0;0;0
21,19875;8,08045291900635;-3,460327;41,522819519043;12,8921394348145;43,1;48,730244;13,4715127944946;652,9;5,7;2,86843872070312;903,3;36,2;3,315;20,7;0,260999989509583;312,926605224609;1054,9;12,7;4315,7;0;1;0;0;0;0
68,7841666666667;8,08045291900635;-3,460261;41,522819519043;12,8921394348145;43,1;48,730167;13,4715127944946;652,9;5,7;2,86843872070312;903,3;36,2;3,315;20,7;0,260999989509583;312,926605224609;1054,9;12,7;4315,7;0;1;0;0;0;0
132,970833333333;4,66073369979858;-3,446613;43,3693885803223;11,9262781143188;41,9;48,726577;12,9043312072754;650;6;2,63580441474915;891,2;37,7;3,35;20,4;0,269000005722046;310,516082763672;1007,9;12,9;4285,3;0;1;0;0;0;0
40,7625;8,08045291900635;-3,460295;41,522819519043;12,8921394348145;43,1;48,72804;13,4715127944946;652,9;5,5;2,86843872070312;903,3;36,2;3,315;20,7;0,260999989509583;312,926605224609;1054,9;12,7;4315,7;0;1;0;0;0;0
21,805;8,08045291900635;-3,460255;41,522819519043;12,8921394348145;43,1;48,727961;13,4715127944946;652,9;5,5;2,86843872070312;903,3;36,2;3,315;20,7;0,260999989509583;312,926605224609;1054,9;12,7;4315,7;0;1;0;0;0;0
44,0920833333333;0,125543430447578;-3,39616;39,1090888977051;8,87498569488525;54,9;47,70869;12,473090171814;633,2;6,2;3,13195538520813;1083,8;32,1;3,661;13;0,257999992370606;255,832794189453;914;13,9;4523,4;0;0;1;0;0;0
21,7741666666667;0,125543430447578;-3,39645;39,1090888977051;8,87498569488525;54,9;47,71002;12,473090171814;633,2;6,2;3,13195538520813;1083,8;32,1;3,661;13;0,257999992370606;255,832794189453;914;13,9;4523,4;0;0;1;0;0;0
