"Richesse_tot";"gps_x";"bio4";"bio7";"CaCO3";"pH";"gps_y";"elevation";"bio18";"CEC";"P";"N";"bio15";"hurs_mean";"bio13";"bio10";"bio16";"gdd10";"bio5";"PET";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
5;-3,74556942461988;4,055;18,1;15,0050210952759;5,8;48,256633102743;117,11499786377;194,7;8,48325252532959;51,2197380065918;2,97595596313477;30,1;652,2;151;16,2500000000001;428,8;856,9;21,05;732,3;0;0;0;1;0;0
8;-3,61692851748986;4,068;18,1;5,70822954177856;6;48,3171891429826;117,11499786377;190,9;8,91396331787109;55,6461753845215;2,82941722869873;29,9;651,7;146,1;16,15;413,9;834,6;20,95;731,8;0;0;0;1;0;0
9;-4,69426660625743;2,893;10,6;5,38821268081665;5,8;48,4585470199688;28,7119998931885;175,7;11,9591903686523;50,8053588867188;3,56389141082764;29,4;652,1;118,5;15,95;328,6;887,8;17,55;786,8;0;0;0;1;0;0
7;-0,661335814506088;5,162;21,6;3,96333622932434;6,2;47,6203506000782;66,4300003051758;128,1;10,2760257720947;35,4446296691895;2,14816665649414;19,1;621,7;73,7;18,65;211,6;1195,1;23,7500000000001;805,3;0;0;0;1;0;0
5;-0,760836412513686;5,105;21,4;1,28238213062286;5,8;47,6969394468125;66,4300003051758;132,7;7,58515167236328;37,0059204101562;2,36112236976624;20;625,3;78,8;18,45;225,3;1173,7;23,55;785,4;0;0;0;1;0;0
7;-0,75416761971787;5,121;21,5;5,08646297454834;6,1;47,6900582426856;66,4300003051758;132,1;7,96527433395386;35,0552406311035;1,95771336555481;19,9;624,7;78,2;18,55;223,6;1180;23,65;793,3;0;0;0;1;0;0
9;-0,921951896667073;5,016;21;49,471996307373;6,2;47,9477628176492;65,5192718505859;140,9;9,14875221252441;41,5766334533691;2,30540776252747;21,3;632,8;85,8;18,05;245,8;1098;23,05;742,4;0;0;0;1;0;0
7;-1,17192980382167;4,919;20,8;34,7388076782227;6,2;47,8626326280655;54,5942726135254;145,8;7,95271730422974;43,8399505615234;2,35281729698181;22,1;638,8;91;17,85;259,4;1067,2;22,85;765,2;0;0;0;1;0;0
7;-0,878485925690926;4,974;20,9;41,8171272277832;6,3;48,0208747021955;175,141006469727;151,8;9,85670280456543;38,1157531738281;2,44990086555481;21;637,5;91;17,85;260,2;1063,1;22,85;755,1;0;0;0;1;0;0
4;-1,10415861335198;5,14;21,6;158,18391418457;7,2;46,5363268929337;60,0998229980469;140;19,9788818359375;48,090217590332;1,87777316570282;28,4;621,5;106,4;19,2500000000001;300,7;1343,7;24,45;815,8;0;0;0;1;0;0
4;-1,21963080659822;5,025;20,8;132,54655456543;7;46,4791960921202;35,3045921325684;134,1;17,8017578125;53,9566650390625;1,98288154602051;29;619,8;103,4;19,2500000000001;295,2;1358,4;24,05;823,2;0;0;0;1;0;0
2;-0,917354001669718;5,191;21,5;56,0480842590332;6,9;46,3997625862672;99,0637512207031;141,9;24,7948379516602;40,3233833312988;2,18899607658386;26,7;615,8;102,1;19,55;287,6;1396,5;24,55;821,8;0;0;0;1;0;0
9;-0,0727918551670724;5,468;23,3;143,112670898438;7,5;45,4943703355074;81,0839920043945;165,4;21,6383857727051;32,5729942321777;1,91176724433899;19,6;610,1;90,9;20,05;267,7;1465,3;25,65;847,2;0;0;0;1;0;0
3;-1,32146841055256;5,007;21,2;62,9061889648438;5,7;47,3327377771115;50,6980018615723;139,8;10,2250938415527;38,2973785400391;2,16516733169556;26;633,3;101;18,65;284,7;1233,9;23,85;831,3;0;0;0;0;0;1
2;-0,211900980897021;5,327;22,2;121,68953704834;7,3;47,1106709492375;66,4300003051758;129,6;17,7588672637939;46,2744903564453;1,34266257286072;18,5;619,4;71,6;19,05;205,2;1266,5;24,35;804,3;0;0;0;0;0;1
