"Richesse";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
1,5;5,1308951664774;47,2316994959672;55;280;114;510;19,546009311676;8,97;8,25;"OS_214";96;41;394;33,8;37,786009311676;2,17857792973518
1,5;4,92909216681658;47,2759098300711;148;178;241;284;21,6269180679321;9,91;8,18;"OS_214";297;149;419;37,4;57,3869180679321;2,18242228031158
0,75;5,19567311469472;47,5330206381896;52;274;141;214;38,2813817596435;12,1;8,06;"OS_214";371;319;415;66,2;87,1213817596435;3,1660121679306
1,5;5,10769392498449;47,3612953289085;110;235;154;481;19,8378992843627;8,37;8,26;"OS_214";130;20;389;34,3;30,7578992843627;2,36948415637016
1,5;5,21085299959762;47,2577419981232;37;337;216;347;16,1699821090698;9,05;8,17;"OS_214";100;63;553;28;23,0099821090698;1,78649604320526
0,5;4,77911031718973;47,3902970575971;30;453;133;335;27,8600016403198;10,1;7,95;"OS_214";79;49;586;48,2;29,7800016403198;2,76935309171676
1,5;4,81235565584989;47,5351535045367;49;397;137;230;36,6680418014526;10,5;8,1;"OS_214";236;187;534;63,4;63,0680418014526;3,47869038581848
1,5;5,05688899949894;47,1300136623876;23;268;78;624;30,6609763336181;9,12;8,19;"OS_214";30;7;346;53;40,7409763336181;3,36059123277664
0;5,03808834764988;47,5956983543217;91;295;118;177;26,7616988372802;9,35;8,28;"OS_214";410;319;413;46,3;65,6416988372802;2,8608027100563
1,5;5,12594416610213;47,4721531690896;57;276;138;418;30,6783242797851;11,4;8,28;"OS_214";168;111;414;53,1;68,1183242797851;2,69848644733428
1;4,75565133271077;47,4525981643979;39;373;146;418;27,0605677223206;9,51;7,92;"OS_214";63;24;519;46,8;29,7005677223206;2,84560799598694
1,5;5,28126224493271;47,1666804362862;84;174;108;334;18,8059379196167;9,19;8,23;"OS_214";384;300;282;32,5;55,6459379196167;2,04668864607811
1,5;4,98646200036498;47,3629701626403;107;181;100;432;24,9303652572632;9,53;8,21;"OS_214";287;180;281;43,1;68,2503652572632;2,61670589447021
1,25;5,35685866436399;47,4323459101271;50;374;279;274;13,3;9,45;7,25;"OS_214";73;23;653;23;13,3227360248566;1,4079438149929
1;5,34759656336407;47,4561756430107;53;435;312;165;10,2036075687408;9,76;7,77;"OS_214";88;35;747;17,7;10,4436075687408;1,04535587131977
1,5;4,83261347279814;47,4485650207346;44;388;119;314;42,0790738677979;9,54;7,99;"OS_214";179;135;507;72,8;62,1190738677979;4,40862268209457
1,25;5,06127016661694;47,258614836854;45;363;219;338;12,3007733345032;9,51;8,07;"OS_214";80;35;582;21,3;14,1007733345032;1,29316508769989
1,5;5,45478283319505;47,2650383350149;213;58;38;70;4,65515285730362;10,5;5,94;"OS_214";834;621;96;8,05;4,65515285730362;0,443610176444054
0,5;5,0392241666821;47,2486388359314;47;342;234;333;14,9;10,2;7,29;"OS_214";91;44;576;25,8;14,8625028133392;1,46530777215958
1,5;4,9257049999348;47,5368519670017;63;312;135;340;29,4663771057129;9,44;8,08;"OS_214";213;150;447;51;61,6263771057129;3,12177181243896
1,25;5,19865333352606;47,2891580026813;33;348;252;360;13,1;9,62;7,04;"OS_214";40;7;600;22,7;13,1173586845398;1,36155515909195
1,5;5,18860549994145;47,1334668309626;84;211;171;468;17,6012694835663;9,16;7,19;"OS_214";150;66;382;30,5;17,6012694835663;1,92235633730888
0,5;4,8898909986457;47,3902891931653;32;510;152;233;38,3235988998413;9,87;7,99;"OS_214";105;73;662;66,3;45,2835988998413;3,88149470090866
0,5;5,08719556644682;47,4125019664462;37;351;138;355;37,0447110748291;9,33;7,98;"OS_210";156;119;489;64,1;54,0847110748291;3,97103011608124
